run,arm,d,step,train_loss,train_loss_med200,val_bpc,val_ppl,val_bpc_0_512,val_bpc_512_2048,val_bpc_2048_4096,grad_norm,nonfinite_steps,ms_per_step,peak_MB,params,elapsed_s,gate_mean,gate_lo,gate_hi,mask_nnz,mask_density,mask_n,mask_q,mask_B
smat_d2_qkn_gate_tri,smat,2,2000,2.376702070236206,2.4043118953704834,3.4721852878531143,11.097672955120125,3.46361698407714,3.469307992484796,3.4764853353233445,0.5547648072242737,0,28.684231400489807,2979.9189453125,4340240,57.57355856895447,0.1325610801577568,0.7254714965820312,0.04033660888671875,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,4000,2.2822515964508057,2.2651684284210205,3.3111430504082073,9.925522497987801,3.2740465443254916,3.322400055154,3.3119744233695414,0.6834613680839539,0,28.68424904346466,2979.9189453125,4340240,115.16088247299194,0.035308031481690705,0.9196281433105469,9.918212890625e-05,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,6000,2.1839261054992676,2.1440638303756714,3.12918354079783,8.749396694204135,3.058097955677477,3.1503013915418516,3.131116549019901,0.7534183859825134,0,28.31597590446472,2979.9189453125,4340240,171.99690294265747,0.014091437958995812,0.9568939208984375,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,8000,1.9667811393737793,1.9754124879837036,2.877779172751597,7.350177920973272,2.793148472556128,2.9003716657371283,2.881992478061316,1.1690250635147095,0,28.402608513832092,2979.9189453125,4340240,229.01081681251526,0.007941764255519956,0.9828262329101562,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,10000,1.6602845191955566,1.7943751215934753,2.6216901988954406,6.154707090702016,2.5539642547040553,2.640128333817387,2.624793083751828,1.7302587032318115,0,28.64763641357422,2979.9189453125,4340240,286.5091106891632,0.00598820619052276,0.9920387268066406,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,12000,1.694457769393921,1.6757757663726807,2.4359179015097956,5.411084990413417,2.395539328337575,2.4495046913152687,2.4358224524487464,1.8494772911071777,0,28.52226483821869,2979.9189453125,4340240,343.75860023498535,0.004722176730865613,0.9951171875,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,14000,1.5161429643630981,1.5775358080863953,2.3177322271277747,4.985479356282909,2.3014634703018224,2.321787718529244,2.3187577977831606,2.0363991260528564,0,28.45048487186432,2979.9189453125,4340240,400.86631655693054,0.004389005247503519,0.9957389831542969,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,16000,1.5342658758163452,1.525814712047577,2.2521192615116306,4.763821186179912,2.2492194815883764,2.2510063419506667,2.2536788961631653,2.1516318321228027,0,28.659154057502747,2979.9189453125,4340240,458.4028615951538,0.004438313044374809,0.9955024719238281,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,18000,1.5992906093597412,1.510857343673706,2.2158494985930237,4.645550280356793,2.219921176384909,2.2126912927421465,2.21720023353321,1.9555782079696655,0,28.729545950889587,2979.9189453125,4340240,516.0692398548126,0.004343732915003784,0.9956703186035156,0.0,4285604,0.25544190406799316,2048,47,47
smat_d2_qkn_gate_tri,smat,2,20000,1.4740374088287354,1.4984477162361145,2.2086865487486556,4.6225423872558435,2.2152628386515967,2.2049721667319124,2.2098282627854773,2.024571180343628,0,28.330788016319275,2979.9189453125,4340240,572.9367036819458,0.004303214082028717,0.9956703186035156,0.0,4285604,0.25544190406799316,2048,47,47
