run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T1024_p16_cpoint_cv4_ag1_an1500_dm256_s0_decaymamba2_v10ag,smat,2,16,16,128,4000,22.636816024780273,0.009765625,4.851820170879364,0.948 0.941 0.947 0.928,0.142 0.031 0.069 0.054,0.981 0.991 0.991 0.990,0.068 0.045 0.044 0.048,360.62260246276855,1448.924459695816,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,500,4.87164831161499,0.006103515625,4.871931791305542,0.947 0.947 0.947 0.945,0.040 0.054 0.047 0.032,0.987 0.986 0.983 0.988,0.044 0.045 0.042 0.045,362.164155960083,182.35749101638794,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,1000,4.8553314208984375,0.0078125,4.8603905737400055,0.945 0.947 0.944 0.946,0.054 0.046 0.052 0.033,0.985 0.987 0.990 0.988,0.044 0.044 0.044 0.044,361.09790992736816,364.17558574676514,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,1500,4.857198715209961,0.00732421875,4.854284256696701,0.942 0.943 0.941 0.941,0.064 0.050 0.044 0.068,0.991 0.990 0.990 0.991,0.044 0.045 0.045 0.045,360.9710359573364,545.9313087463379,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,2000,4.853905200958252,0.006591796875,4.852395862340927,0.937 0.947 0.945 0.942,0.070 0.044 0.047 0.070,0.987 0.990 0.989 0.990,0.043 0.044 0.045 0.045,359.82395124435425,727.1126110553741,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,2500,4.813841819763184,0.0146484375,4.817640781402588,0.898 0.945 0.940 0.931,0.396 0.074 0.060 0.068,0.870 0.988 0.989 0.989,0.105 0.045 0.045 0.043,360.64396953582764,908.7044568061829,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,3000,4.808489799499512,0.01611328125,4.809200674295425,0.883 0.946 0.941 0.934,0.509 0.050 0.034 0.045,0.855 0.990 0.979 0.983,0.087 0.043 0.045 0.044,360.464759349823,1090.2079064846039,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,3500,4.80402946472168,0.013916015625,4.801655054092407,0.897 0.947 0.944 0.937,0.503 0.060 0.039 0.070,0.887 0.988 0.990 0.988,0.068 0.044 0.044 0.046,359.4767556190491,1271.1192717552185,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_an1500_dm256_s0_decaymamba2_v10cur,smat,2,16,16,128,4000,4.7853312492370605,0.01611328125,4.790672957897186,0.900 0.945 0.942 0.936,0.501 0.044 0.034 0.041,0.889 0.989 0.989 0.990,0.066 0.043 0.044 0.043,358.6383695602417,1451.7085583209991,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_unfrz1500_cv4_ag1_an1500_dm256_s0_decaymamba2_v10both,smat,2,16,16,128,500,22.41488265991211,0.0068359375,4.875725448131561,0.946 0.946 0.942 0.950,0.141 0.314 0.066 0.029,0.896 0.741 0.931 0.986,0.114 0.328 0.122 0.030,360.2005686759949,181.37081098556519,256,4,64,0,0,4160,3633728
