width,heads,seed,epoch,complete,gdn,soft_smat,gain
16,1,123,32,True,35.705625000000005,78.05375,42.34812499999999
32,2,123,32,True,68.9315625,94.2909375,25.359375
64,2,123,32,True,60.52125,96.8465625,36.3253125
