task,family,width,d,seed,split,cell,accuracy,source
mqar,gdn,32,3,123,validation,4,100.0,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3.json
mqar,gdn,32,3,123,validation,8,99.8375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3.json
mqar,gdn,32,3,123,validation,16,86.19375000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3.json
mqar,gdn,32,3,123,validation,32,58.196875000000006,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3.json
mqar,gdn,32,3,123,validation,64,69.66718750000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3.json
mqar,gdn,32,4,123,validation,macro,82.54875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,32,4,123,validation,4,99.925,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,32,4,123,validation,8,99.46249999999999,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,32,4,123,validation,16,91.68125,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,32,4,123,validation,32,74.9375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,32,4,123,validation,64,46.7375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4.json
mqar,gdn,64,1,123,validation,macro,77.0459375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,1,123,validation,4,100.0,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,1,123,validation,8,99.91250000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,1,123,validation,16,98.0875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,1,123,validation,32,68.24375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,1,123,validation,64,18.9859375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/30_w64_lr003_gdn/w64-d1.json
mqar,gdn,64,2,123,validation,macro,89.6834375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,2,123,validation,4,100.0,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,2,123,validation,8,99.97500000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,2,123,validation,16,98.2375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,2,123,validation,32,64.490625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,2,123,validation,64,85.7140625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/31_w64_lr003_d2/w64-d2.json
mqar,gdn,64,3,123,validation,macro,82.6784375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,3,123,validation,4,99.875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,3,123,validation,8,99.52499999999999,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,3,123,validation,16,84.2375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,3,123,validation,32,61.56875000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,3,123,validation,64,68.18593750000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/32_w64_lr003_d3/w64-d3.json
mqar,gdn,64,4,123,validation,macro,88.09625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,gdn,64,4,123,validation,4,99.7,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,gdn,64,4,123,validation,8,99.625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,gdn,64,4,123,validation,16,92.24375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,gdn,64,4,123,validation,32,67.75,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,gdn,64,4,123,validation,64,81.16250000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/29_w64_lr003_d4/w64-d4.json
mqar,mamba2,16,1,123,validation,macro,42.0275,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,1,123,validation,4,82.325,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,1,123,validation,8,65.6375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,1,123,validation,16,42.0875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,1,123,validation,32,16.7375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,1,123,validation,64,3.35,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d1.json
mqar,mamba2,16,2,123,validation,macro,43.116875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,2,123,validation,4,82.95,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,2,123,validation,8,66.9625,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,2,123,validation,16,44.206250000000004,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,2,123,validation,32,18.046875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,2,123,validation,64,3.41875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d2.json
mqar,mamba2,16,3,123,validation,macro,59.4746875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
mqar,mamba2,16,3,123,validation,4,85.0,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
mqar,mamba2,16,3,123,validation,8,74.3125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/mamba2/w16-d3.json
