k,smat_d1,smat_d2,smat_d3,smat_d4,softmax,mamba2,deltanet
1,100.0,99.93489583333333,99.93489583333333,99.93489583333333,100.0,100.0,99.93489583333333
2,77.21354166666667,99.47916666666667,99.47916666666667,99.54427083333333,52.213541666666664,63.0859375,76.69270833333333
3,48.307291666666664,82.48697916666667,98.17708333333333,98.17708333333333,28.776041666666668,32.2265625,46.549479166666664
4,29.8828125,52.9296875,89.453125,97.98177083333333,17.96875,19.205729166666668,30.208333333333332
5,14.6484375,33.072916666666664,70.18229166666667,93.68489583333333,7.8125,9.895833333333334,15.755208333333334
6,9.9609375,17.122395833333332,43.098958333333336,78.7109375,5.2734375,5.598958333333333,9.830729166666666
