k,smat_d1,ceiling_d1,smat_d2,ceiling_d2,smat_d3,ceiling_d3,smat_d4,ceiling_d4,softmax,softmax_content
1,100.0,100.0,99.93489583333333,100.0,99.93489583333333,100.0,99.93489583333333,100.0,100.0,98.11197916666667
2,77.21354166666667,75.0,99.47916666666667,100.0,99.47916666666667,100.0,99.54427083333333,100.0,52.213541666666664,79.6875
3,48.307291666666664,50.0,82.48697916666667,87.5,98.17708333333333,100.0,98.17708333333333,100.0,28.776041666666668,30.794270833333332
4,29.8828125,31.25,52.9296875,62.5,89.453125,93.75,97.98177083333333,100.0,17.96875,12.825520833333334
5,14.6484375,18.75,33.072916666666664,40.625,70.18229166666667,75.0,93.68489583333333,96.875,7.8125,5.6640625
6,9.9609375,10.9375,17.122395833333332,25.0,43.098958333333336,54.6875,78.7109375,84.375,5.2734375,3.3203125
