position,nll
0.000000000000000000e+00,3.422698857454529620e+00
1.000000000000000000e+00,2.912324020982582695e+00
2.000000000000000000e+00,2.211429364024279920e+00
3.000000000000000000e+00,1.804067373978829103e+00
4.000000000000000000e+00,1.805137299536918150e+00
5.000000000000000000e+00,1.633177314151162518e+00
6.000000000000000000e+00,1.586121986973191067e+00
7.000000000000000000e+00,1.407732953184158253e+00
8.000000000000000000e+00,1.286813822927022066e+00
9.000000000000000000e+00,1.414358728596001757e+00
1.000000000000000000e+01,1.534706864761929079e+00
1.100000000000000000e+01,1.492693765303520825e+00
1.200000000000000000e+01,1.397451469775472521e+00
1.300000000000000000e+01,1.311038361561053245e+00
1.400000000000000000e+01,1.436897303815453997e+00
1.500000000000000000e+01,1.297155291171645297e+00
1.600000000000000000e+01,1.337662729152027774e+00
1.700000000000000000e+01,1.348250762613864229e+00
1.800000000000000000e+01,1.156317267425121642e+00
1.900000000000000000e+01,1.272884087011096010e+00
2.000000000000000000e+01,1.301440560783557299e+00
2.100000000000000000e+01,1.321118999357510759e+00
2.200000000000000000e+01,1.287719350045959166e+00
2.300000000000000000e+01,1.265051232792578251e+00
2.400000000000000000e+01,1.212459353764911762e+00
2.500000000000000000e+01,1.317990178612564733e+00
2.600000000000000000e+01,1.209992276967434499e+00
2.700000000000000000e+01,1.442317005517781858e+00
2.800000000000000000e+01,1.232458905086062595e+00
2.900000000000000000e+01,1.382938311805139486e+00
3.000000000000000000e+01,1.281227587451337691e+00
3.100000000000000000e+01,1.450285190277252001e+00
3.200000000000000000e+01,1.312553764225105946e+00
3.300000000000000000e+01,1.240736586914386264e+00
3.400000000000000000e+01,1.250037024401559504e+00
3.500000000000000000e+01,1.220372898929531047e+00
3.600000000000000000e+01,1.233977937580207573e+00
3.700000000000000000e+01,1.255261882808685447e+00
3.800000000000000000e+01,1.182971762856907416e+00
3.900000000000000000e+01,1.277180377156883928e+00
4.000000000000000000e+01,1.065275803403155974e+00
4.100000000000000000e+01,1.312275075054055717e+00
4.200000000000000000e+01,1.302235059052899935e+00
4.300000000000000000e+01,1.145286461866897865e+00
4.400000000000000000e+01,1.151889392833194803e+00
4.500000000000000000e+01,1.326810600324801026e+00
4.600000000000000000e+01,1.173766469299510895e+00
4.700000000000000000e+01,1.402498441183038791e+00
4.800000000000000000e+01,1.287644367370674336e+00
4.900000000000000000e+01,1.225144067869262221e+00
5.000000000000000000e+01,1.256599001418875483e+00
5.100000000000000000e+01,1.286027699692907644e+00
5.200000000000000000e+01,1.361784377603287854e+00
5.300000000000000000e+01,1.208714763643448986e+00
5.400000000000000000e+01,1.131649667608979115e+00
5.500000000000000000e+01,1.250655255762986195e+00
5.600000000000000000e+01,1.252141583570637984e+00
5.700000000000000000e+01,1.285688758017085043e+00
5.800000000000000000e+01,1.258151749690630039e+00
5.900000000000000000e+01,1.196924022916746377e+00
6.000000000000000000e+01,1.252185478544919128e+00
6.100000000000000000e+01,1.220975986189785312e+00
6.200000000000000000e+01,1.270689715660887176e+00
6.300000000000000000e+01,1.082551528306794353e+00
6.400000000000000000e+01,1.089593373623115591e+00
6.500000000000000000e+01,1.212793605148872800e+00
6.600000000000000000e+01,1.136777137872451826e+00
6.700000000000000000e+01,1.196251025933631196e+00
6.800000000000000000e+01,1.219885251264290149e+00
6.900000000000000000e+01,1.257775026705635124e+00
7.000000000000000000e+01,1.221101271656588105e+00
7.100000000000000000e+01,1.266136297636539343e+00
7.200000000000000000e+01,1.361106416908165251e+00
7.300000000000000000e+01,1.367244458689781839e+00
7.400000000000000000e+01,1.336453351468519513e+00
7.500000000000000000e+01,1.286578192812444010e+00
7.600000000000000000e+01,1.293324266980138804e+00
7.700000000000000000e+01,1.390271000746068797e+00
7.800000000000000000e+01,1.336129134564973509e+00
7.900000000000000000e+01,1.191794014006440916e+00
8.000000000000000000e+01,1.176525814307292528e+00
8.100000000000000000e+01,1.352577051207839220e+00
8.200000000000000000e+01,1.186245808136729529e+00
8.300000000000000000e+01,1.279684646453252306e+00
8.400000000000000000e+01,1.339168789742426702e+00
8.500000000000000000e+01,1.188191742615365865e+00
8.600000000000000000e+01,1.280562025862154396e+00
8.700000000000000000e+01,1.210841439708091105e+00
8.800000000000000000e+01,1.191434473896276991e+00
8.900000000000000000e+01,1.390952849209992737e+00
9.000000000000000000e+01,1.343209680788348681e+00
