-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.80%      11.093ms         2.42%      14.895ms      25.160us     183.370ms        33.56%     183.370ms     309.747us           592  
                                            aten::copy_         1.23%       7.581ms         7.19%      44.210ms      22.487us      74.320ms        13.60%      74.323ms      37.804us          1966  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      69.669ms        12.75%      69.669ms       4.354ms            16  
                                              aten::bmm         0.77%       4.727ms         0.97%       5.934ms      33.715us      51.397ms         9.41%      51.397ms     292.031us           176  
                                              aten::mul         1.70%      10.433ms         2.60%      16.007ms       9.551us      46.842ms         8.57%      46.842ms      27.949us          1676  
                                             aten::add_         0.33%       2.056ms         0.62%       3.795ms       7.201us      34.512ms         6.32%      34.512ms      65.488us           527  
                                      SMAT_read_routing         0.00%       0.000us         0.00%       0.000us       0.000us      32.700ms         5.99%      32.700ms       2.044ms            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      30.268ms         5.54%      30.268ms      49.783us           608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.184ms         5.34%      29.184ms      51.930us           562  
                                      SMAT_delta_memory         0.00%       0.000us         0.00%       0.000us       0.000us      24.461ms         4.48%      24.461ms       1.529ms            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.038ms         4.40%      24.038ms      63.762us           377  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      23.878ms         4.37%      23.878ms       2.985ms             8  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      22.786ms         4.17%      22.786ms       2.848ms             8  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      19.367ms         3.54%      19.367ms     403.489us            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.839ms         3.27%      17.839ms      33.532us           532  
                                     aten::_log_softmax         0.04%     215.670us         0.05%     283.898us      17.744us      16.253ms         2.97%      16.253ms       1.016ms            16  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.253ms         2.97%      16.253ms       1.016ms            16  
                                       SMAT_pack_writes         0.00%       0.000us         0.00%       0.000us       0.000us      15.661ms         2.87%      15.661ms     978.805us            16  
