-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         0.83%       5.507ms         1.33%       8.840ms      18.729us       5.459ms         1.08%       5.459ms      11.567us           472  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.301ms         1.05%       5.301ms     165.671us            32  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       4.861ms         0.97%       4.861ms     303.793us            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.778ms         0.95%       4.778ms      49.774us            96  
                                    aten::silu_backward         0.02%     165.736us         0.05%     299.086us      18.693us       4.769ms         0.95%       4.769ms     298.057us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.769ms         0.95%       4.769ms     298.057us            16  
                                              aten::cat         0.30%       1.975ms         0.52%       3.483ms      26.999us       4.579ms         0.91%       4.579ms      35.498us           129  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.475ms         0.89%       4.475ms     139.853us            32  
         nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.271ms         0.85%       4.271ms     133.473us            32  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.259ms         0.85%       4.259ms      24.062us           177  
         nvjet_sm90_tst_192x192_64x3_1x2_h_bz_coopB_NNN         0.00%       0.000us         0.00%       0.000us       0.000us       4.211ms         0.84%       4.211ms     263.173us            16  
                                 aten::_index_put_impl_         0.78%       5.205ms        24.13%     160.269ms     834.735us       4.196ms         0.83%       5.277ms      27.485us           192  
                                             aten::silu         0.04%     248.894us         0.06%     402.675us      25.167us       4.174ms         0.83%       4.174ms     260.853us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.174ms         0.83%       4.174ms     260.853us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.084ms         0.81%       4.084ms     255.255us            16  
         nvjet_sm90_tst_192x128_64x5_1x4_h_bz_coopB_NTT         0.00%       0.000us         0.00%       0.000us       0.000us       3.927ms         0.78%       3.927ms     245.415us            16  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.891ms         0.77%       3.891ms      11.971us           325  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       3.655ms         0.73%       3.655ms      37.675us            97  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.518ms         0.70%       3.518ms      19.873us           177  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       3.440ms         0.68%       3.440ms     214.982us            16  
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us       3.388ms         0.67%       3.388ms       7.178us           472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.332ms         0.66%       3.332ms      10.854us           307  
                                             aten::topk         0.08%     502.585us         0.15%     967.211us      60.451us       3.288ms         0.65%       3.288ms     205.497us            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.071ms         0.61%       3.071ms       9.140us           336  
                                              aten::pow         0.26%       1.731ms         0.52%       3.425ms      29.779us       2.976ms         0.59%       5.961ms      51.837us           115  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.920ms         0.58%       2.920ms      59.584us            49  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize256x64...         0.00%       0.000us         0.00%       0.000us       0.000us       2.913ms         0.58%       2.913ms     182.063us            16  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.901ms         0.58%       2.901ms     181.295us            16  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.886ms         0.57%       2.886ms     180.383us            16  
                                            aten::index         0.70%       4.629ms         2.09%      13.866ms      57.777us       2.794ms         0.55%       3.532ms      14.715us           240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.680ms         0.53%       2.680ms      54.687us            49  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.653ms         0.53%       2.653ms     165.830us            16  
         nvjet_sm90_tst_64x64_64x13_2x1_v_bz_splitK_NTT         0.00%       0.000us         0.00%       0.000us       0.000us       2.648ms         0.53%       2.648ms      33.096us            80  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.618ms         0.52%       2.618ms     163.648us            16  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us       2.560ms         0.51%       2.560ms       2.560ms             1  
                       aten::native_layer_norm_backward         0.05%     331.111us         0.22%       1.468ms      45.889us       2.359ms         0.47%       5.446ms     170.185us            32  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us       2.359ms         0.47%       2.359ms      73.711us            32  
                                    aten::_fused_adamw_         0.05%     309.141us         0.06%     406.555us     406.555us       2.186ms         0.43%       2.186ms       2.186ms             1  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.186ms         0.43%       2.186ms     145.741us            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 664.143ms
Self CUDA time total: 503.415ms
