-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.19%       9.523ms         9.40%      40.800ms      87.930us     163.418ms        46.90%     163.418ms     352.193us           464  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      70.265ms        20.17%      70.265ms       4.392ms            16  
                                              aten::mul         0.58%       2.516ms         4.14%      17.976ms      47.306us      42.455ms        12.18%      42.455ms     111.723us           380  
                                            aten::copy_         0.67%       2.905ms         7.90%      34.264ms      49.372us      40.563ms        11.64%      40.565ms      58.452us           694  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      24.178ms         6.94%      24.178ms       3.022ms             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      23.235ms         6.67%      23.235ms      78.233us           297  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      22.907ms         6.57%      22.907ms       2.863ms             8  
                                             aten::add_         0.20%     883.513us         0.90%       3.900ms      20.419us      20.710ms         5.94%      20.710ms     108.429us           191  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.055ms         5.76%      20.055ms     103.376us           194  
                                     aten::_log_softmax         0.06%     244.376us         0.07%     324.143us      20.259us      16.249ms         4.66%      16.249ms       1.016ms            16  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.249ms         4.66%      16.249ms       1.016ms            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.037ms         4.32%      15.037ms     113.913us           132  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.245ms         4.09%      14.245ms      40.354us           353  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.951ms         3.72%      12.951ms      98.114us           132  
                    ChunkGatedDeltaRuleFunctionBackward         3.75%      16.263ms         4.87%      21.120ms       1.320ms      12.440ms         3.57%      12.979ms     811.185us            16  
         nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_NNT         0.00%       0.000us         0.00%       0.000us       0.000us       9.245ms         2.65%       9.245ms     115.565us            80  
                       aten::_log_softmax_backward_data         0.01%      56.276us         0.02%      85.696us      10.712us       8.984ms         2.58%       8.984ms       1.123ms             8  
