-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.04%      17.131ms         2.79%      23.459ms      39.626us     184.522ms        27.52%     184.522ms     311.692us           592  
                                              aten::bmm         0.81%       6.792ms         1.06%       8.896ms      50.545us     148.876ms        22.20%     148.876ms     845.885us           176  
                                            aten::copy_         1.32%      11.074ms        11.33%      95.133ms      47.999us      82.323ms        12.28%      82.326ms      41.537us          1982  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      70.294ms        10.48%      70.294ms       4.393ms            16  
                                      SMAT_read_routing         0.00%       0.000us         0.00%       0.000us       0.000us      60.026ms         8.95%      60.026ms       3.752ms            16  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize256x12...         0.00%       0.000us         0.00%       0.000us       0.000us      56.627ms         8.44%      56.627ms       1.770ms            32  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      52.889ms         7.89%      52.889ms       1.653ms            32  
                                              aten::mul         1.83%      15.362ms         3.06%      25.714ms      13.534us      47.590ms         7.10%      47.590ms      25.047us          1900  
                                        SMAT_write_hash         0.00%       0.000us         0.00%       0.000us       0.000us      44.892ms         6.69%      44.892ms       2.806ms            16  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      38.639ms         5.76%      38.639ms     804.984us            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      37.002ms         5.52%      37.002ms      59.298us           624  
                                      SMAT_delta_memory         0.00%       0.000us         0.00%       0.000us       0.000us      36.599ms         5.46%      36.599ms       2.287ms            16  
                                             aten::add_         0.37%       3.099ms         0.74%       6.178ms      11.378us      34.904ms         5.20%      34.904ms      64.280us           543  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.608ms         4.42%      29.608ms      47.297us           626  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.105ms         3.59%      24.105ms      63.940us           377  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      23.945ms         3.57%      23.945ms       2.993ms             8  
                                            SMAT_branch         0.00%       0.000us         0.00%       0.000us       0.000us      23.550ms         3.51%      23.550ms       1.472ms            16  
                                       SMAT_pack_writes         0.00%       0.000us         0.00%       0.000us       0.000us      23.343ms         3.48%      23.343ms       1.459ms            16  
