    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d1_hd16_h2_sig_cread_m2blk_s1-dm64-lr1.0e-02'
valid/loss=1.62, valid/accuracy=0.715, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.978, valid/num_kv_pairs/accuracy-16=0.882, valid/num_kv_pairs/accuracy-32=0.545, valid/num_kv_pairs/accuracy-64=0.178
valid/loss=1.61, valid/accuracy=0.716, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.98, valid/num_kv_pairs/accuracy-16=0.881, valid/num_kv_pairs/accuracy-32=0.548, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.6, valid/accuracy=0.717, valid/num_kv_pairs/accuracy-4=0.994, valid/num_kv_pairs/accuracy-8=0.982, valid/num_kv_pairs/accuracy-16=0.884, valid/num_kv_pairs/accuracy-32=0.548, valid/num_kv_pairs/accuracy-64=0.176
valid/loss=1.58, valid/accuracy=0.717, valid/num_kv_pairs/accuracy-4=0.996, valid/num_kv_pairs/accuracy-8=0.984, valid/num_kv_pairs/accuracy-16=0.886, valid/num_kv_pairs/accuracy-32=0.545, valid/num_kv_pairs/accuracy-64=0.175
valid/loss=1.57, valid/accuracy=0.718, valid/num_kv_pairs/accuracy-4=0.997, valid/num_kv_pairs/accuracy-8=0.985, valid/num_kv_pairs/accuracy-16=0.887, valid/num_kv_pairs/accuracy-32=0.545, valid/num_kv_pairs/accuracy-64=0.175
valid/loss=1.56, valid/accuracy=0.72, valid/num_kv_pairs/accuracy-4=0.998, valid/num_kv_pairs/accuracy-8=0.987, valid/num_kv_pairs/accuracy-16=0.893, valid/num_kv_pairs/accuracy-32=0.547, valid/num_kv_pairs/accuracy-64=0.173
valid/loss=1.54, valid/accuracy=0.721, valid/num_kv_pairs/accuracy-4=0.998, valid/num_kv_pairs/accuracy-8=0.989, valid/num_kv_pairs/accuracy-16=0.899, valid/num_kv_pairs/accuracy-32=0.549, valid/num_kv_pairs/accuracy-64=0.172
valid/loss=1.53, valid/accuracy=0.723, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.988, valid/num_kv_pairs/accuracy-16=0.902, valid/num_kv_pairs/accuracy-32=0.552, valid/num_kv_pairs/accuracy-64=0.172
valid/loss=1.52, valid/accuracy=0.725, valid/num_kv_pairs/accuracy-4=0.998, valid/num_kv_pairs/accuracy-8=0.988, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.56, valid/num_kv_pairs/accuracy-64=0.173
valid/loss=1.51, valid/accuracy=0.727, valid/num_kv_pairs/accuracy-4=0.997, valid/num_kv_pairs/accuracy-8=0.987, valid/num_kv_pairs/accuracy-16=0.908, valid/num_kv_pairs/accuracy-32=0.567, valid/num_kv_pairs/accuracy-64=0.174
