    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d1_hd16_h2_sig_cread_m2blk_s4-dm32-lr1.0e-02'
valid/loss=8.2, valid/accuracy=0.000919, valid/num_kv_pairs/accuracy-4=0.00175, valid/num_kv_pairs/accuracy-8=0.000625, valid/num_kv_pairs/accuracy-16=0.00119, valid/num_kv_pairs/accuracy-32=0.0005, valid/num_kv_pairs/accuracy-64=0.000531
valid/loss=5.26, valid/accuracy=0.284, valid/num_kv_pairs/accuracy-4=0.711, valid/num_kv_pairs/accuracy-8=0.46, valid/num_kv_pairs/accuracy-16=0.187, valid/num_kv_pairs/accuracy-32=0.0498, valid/num_kv_pairs/accuracy-64=0.013
valid/loss=4.81, valid/accuracy=0.359, valid/num_kv_pairs/accuracy-4=0.84, valid/num_kv_pairs/accuracy-8=0.6, valid/num_kv_pairs/accuracy-16=0.262, valid/num_kv_pairs/accuracy-32=0.0741, valid/num_kv_pairs/accuracy-64=0.0177
valid/loss=4.62, valid/accuracy=0.375, valid/num_kv_pairs/accuracy-4=0.839, valid/num_kv_pairs/accuracy-8=0.637, valid/num_kv_pairs/accuracy-16=0.297, valid/num_kv_pairs/accuracy-32=0.0829, valid/num_kv_pairs/accuracy-64=0.0197
valid/loss=5.04, valid/accuracy=0.381, valid/num_kv_pairs/accuracy-4=0.851, valid/num_kv_pairs/accuracy-8=0.648, valid/num_kv_pairs/accuracy-16=0.303, valid/num_kv_pairs/accuracy-32=0.0849, valid/num_kv_pairs/accuracy-64=0.0201
valid/loss=4.69, valid/accuracy=0.386, valid/num_kv_pairs/accuracy-4=0.843, valid/num_kv_pairs/accuracy-8=0.656, valid/num_kv_pairs/accuracy-16=0.32, valid/num_kv_pairs/accuracy-32=0.0894, valid/num_kv_pairs/accuracy-64=0.0217
valid/loss=4.65, valid/accuracy=0.359, valid/num_kv_pairs/accuracy-4=0.778, valid/num_kv_pairs/accuracy-8=0.605, valid/num_kv_pairs/accuracy-16=0.304, valid/num_kv_pairs/accuracy-32=0.0874, valid/num_kv_pairs/accuracy-64=0.0205
valid/loss=4.61, valid/accuracy=0.387, valid/num_kv_pairs/accuracy-4=0.84, valid/num_kv_pairs/accuracy-8=0.649, valid/num_kv_pairs/accuracy-16=0.328, valid/num_kv_pairs/accuracy-32=0.0931, valid/num_kv_pairs/accuracy-64=0.0228
valid/loss=4.72, valid/accuracy=0.397, valid/num_kv_pairs/accuracy-4=0.874, valid/num_kv_pairs/accuracy-8=0.662, valid/num_kv_pairs/accuracy-16=0.336, valid/num_kv_pairs/accuracy-32=0.0919, valid/num_kv_pairs/accuracy-64=0.0223
valid/loss=4.69, valid/accuracy=0.39, valid/num_kv_pairs/accuracy-4=0.83, valid/num_kv_pairs/accuracy-8=0.662, valid/num_kv_pairs/accuracy-16=0.339, valid/num_kv_pairs/accuracy-32=0.0968, valid/num_kv_pairs/accuracy-64=0.0224
valid/loss=4, valid/accuracy=0.431, valid/num_kv_pairs/accuracy-4=0.893, valid/num_kv_pairs/accuracy-8=0.733, valid/num_kv_pairs/accuracy-16=0.398, valid/num_kv_pairs/accuracy-32=0.107, valid/num_kv_pairs/accuracy-64=0.0222
valid/loss=4.33, valid/accuracy=0.444, valid/num_kv_pairs/accuracy-4=0.899, valid/num_kv_pairs/accuracy-8=0.755, valid/num_kv_pairs/accuracy-16=0.422, valid/num_kv_pairs/accuracy-32=0.119, valid/num_kv_pairs/accuracy-64=0.0263
valid/loss=3.98, valid/accuracy=0.461, valid/num_kv_pairs/accuracy-4=0.917, valid/num_kv_pairs/accuracy-8=0.783, valid/num_kv_pairs/accuracy-16=0.45, valid/num_kv_pairs/accuracy-32=0.126, valid/num_kv_pairs/accuracy-64=0.0258
