    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d2_hd16_sig_cread_m2blk_s4-dm16-lr1.0e-02'
valid/loss=8.27, valid/accuracy=0.000463, valid/num_kv_pairs/accuracy-4=0.00075, valid/num_kv_pairs/accuracy-8=0.000375, valid/num_kv_pairs/accuracy-16=0.000438, valid/num_kv_pairs/accuracy-32=0.000375, valid/num_kv_pairs/accuracy-64=0.000375
valid/loss=2.11, valid/accuracy=0.728, valid/num_kv_pairs/accuracy-4=0.872, valid/num_kv_pairs/accuracy-8=0.799, valid/num_kv_pairs/accuracy-16=0.844, valid/num_kv_pairs/accuracy-32=0.692, valid/num_kv_pairs/accuracy-64=0.433
valid/loss=1.62, valid/accuracy=0.797, valid/num_kv_pairs/accuracy-4=0.905, valid/num_kv_pairs/accuracy-8=0.838, valid/num_kv_pairs/accuracy-16=0.895, valid/num_kv_pairs/accuracy-32=0.79, valid/num_kv_pairs/accuracy-64=0.556
valid/loss=1.32, valid/accuracy=0.838, valid/num_kv_pairs/accuracy-4=0.948, valid/num_kv_pairs/accuracy-8=0.892, valid/num_kv_pairs/accuracy-16=0.918, valid/num_kv_pairs/accuracy-32=0.829, valid/num_kv_pairs/accuracy-64=0.602
valid/loss=1.39, valid/accuracy=0.826, valid/num_kv_pairs/accuracy-4=0.94, valid/num_kv_pairs/accuracy-8=0.871, valid/num_kv_pairs/accuracy-16=0.914, valid/num_kv_pairs/accuracy-32=0.818, valid/num_kv_pairs/accuracy-64=0.587
valid/loss=1.33, valid/accuracy=0.836, valid/num_kv_pairs/accuracy-4=0.927, valid/num_kv_pairs/accuracy-8=0.882, valid/num_kv_pairs/accuracy-16=0.924, valid/num_kv_pairs/accuracy-32=0.835, valid/num_kv_pairs/accuracy-64=0.612
valid/loss=1.3, valid/accuracy=0.837, valid/num_kv_pairs/accuracy-4=0.937, valid/num_kv_pairs/accuracy-8=0.879, valid/num_kv_pairs/accuracy-16=0.923, valid/num_kv_pairs/accuracy-32=0.834, valid/num_kv_pairs/accuracy-64=0.613
valid/loss=1.22, valid/accuracy=0.847, valid/num_kv_pairs/accuracy-4=0.94, valid/num_kv_pairs/accuracy-8=0.884, valid/num_kv_pairs/accuracy-16=0.928, valid/num_kv_pairs/accuracy-32=0.846, valid/num_kv_pairs/accuracy-64=0.635
valid/loss=1.22, valid/accuracy=0.848, valid/num_kv_pairs/accuracy-4=0.948, valid/num_kv_pairs/accuracy-8=0.892, valid/num_kv_pairs/accuracy-16=0.929, valid/num_kv_pairs/accuracy-32=0.847, valid/num_kv_pairs/accuracy-64=0.623
valid/loss=1.22, valid/accuracy=0.847, valid/num_kv_pairs/accuracy-4=0.933, valid/num_kv_pairs/accuracy-8=0.899, valid/num_kv_pairs/accuracy-16=0.93, valid/num_kv_pairs/accuracy-32=0.849, valid/num_kv_pairs/accuracy-64=0.626
valid/loss=1.24, valid/accuracy=0.841, valid/num_kv_pairs/accuracy-4=0.943, valid/num_kv_pairs/accuracy-8=0.895, valid/num_kv_pairs/accuracy-16=0.932, valid/num_kv_pairs/accuracy-32=0.834, valid/num_kv_pairs/accuracy-64=0.602
valid/loss=1.18, valid/accuracy=0.847, valid/num_kv_pairs/accuracy-4=0.947, valid/num_kv_pairs/accuracy-8=0.898, valid/num_kv_pairs/accuracy-16=0.932, valid/num_kv_pairs/accuracy-32=0.846, valid/num_kv_pairs/accuracy-64=0.614
valid/loss=1.16, valid/accuracy=0.85, valid/num_kv_pairs/accuracy-4=0.943, valid/num_kv_pairs/accuracy-8=0.905, valid/num_kv_pairs/accuracy-16=0.933, valid/num_kv_pairs/accuracy-32=0.846, valid/num_kv_pairs/accuracy-64=0.625
valid/loss=1.17, valid/accuracy=0.847, valid/num_kv_pairs/accuracy-4=0.942, valid/num_kv_pairs/accuracy-8=0.896, valid/num_kv_pairs/accuracy-16=0.932, valid/num_kv_pairs/accuracy-32=0.845, valid/num_kv_pairs/accuracy-64=0.624
valid/loss=1.15, valid/accuracy=0.851, valid/num_kv_pairs/accuracy-4=0.941, valid/num_kv_pairs/accuracy-8=0.898, valid/num_kv_pairs/accuracy-16=0.936, valid/num_kv_pairs/accuracy-32=0.853, valid/num_kv_pairs/accuracy-64=0.629
valid/loss=1.12, valid/accuracy=0.854, valid/num_kv_pairs/accuracy-4=0.942, valid/num_kv_pairs/accuracy-8=0.904, valid/num_kv_pairs/accuracy-16=0.937, valid/num_kv_pairs/accuracy-32=0.853, valid/num_kv_pairs/accuracy-64=0.632
valid/loss=1.06, valid/accuracy=0.863, valid/num_kv_pairs/accuracy-4=0.956, valid/num_kv_pairs/accuracy-8=0.912, valid/num_kv_pairs/accuracy-16=0.945, valid/num_kv_pairs/accuracy-32=0.865, valid/num_kv_pairs/accuracy-64=0.639
valid/loss=1.07, valid/accuracy=0.861, valid/num_kv_pairs/accuracy-4=0.95, valid/num_kv_pairs/accuracy-8=0.907, valid/num_kv_pairs/accuracy-16=0.943, valid/num_kv_pairs/accuracy-32=0.864, valid/num_kv_pairs/accuracy-64=0.64
