    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d3_hd16_h2_sig_cread_m2blk_s1-dm64-lr1.0e-02'
valid/loss=1.1, valid/accuracy=0.855, valid/num_kv_pairs/accuracy-4=0.81, valid/num_kv_pairs/accuracy-8=0.637, valid/num_kv_pairs/accuracy-16=0.916, valid/num_kv_pairs/accuracy-32=0.965, valid/num_kv_pairs/accuracy-64=0.949
valid/loss=1.28, valid/accuracy=0.846, valid/num_kv_pairs/accuracy-4=0.792, valid/num_kv_pairs/accuracy-8=0.605, valid/num_kv_pairs/accuracy-16=0.918, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.907, valid/accuracy=0.866, valid/num_kv_pairs/accuracy-4=0.83, valid/num_kv_pairs/accuracy-8=0.666, valid/num_kv_pairs/accuracy-16=0.92, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.952
valid/loss=0.702, valid/accuracy=0.889, valid/num_kv_pairs/accuracy-4=0.886, valid/num_kv_pairs/accuracy-8=0.727, valid/num_kv_pairs/accuracy-16=0.919, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.421, valid/accuracy=0.935, valid/num_kv_pairs/accuracy-4=0.958, valid/num_kv_pairs/accuracy-8=0.882, valid/num_kv_pairs/accuracy-16=0.919, valid/num_kv_pairs/accuracy-32=0.963, valid/num_kv_pairs/accuracy-64=0.951
valid/loss=0.298, valid/accuracy=0.957, valid/num_kv_pairs/accuracy-4=0.981, valid/num_kv_pairs/accuracy-8=0.971, valid/num_kv_pairs/accuracy-16=0.92, valid/num_kv_pairs/accuracy-32=0.963, valid/num_kv_pairs/accuracy-64=0.948
valid/loss=0.266, valid/accuracy=0.96, valid/num_kv_pairs/accuracy-4=0.986, valid/num_kv_pairs/accuracy-8=0.981, valid/num_kv_pairs/accuracy-16=0.924, valid/num_kv_pairs/accuracy-32=0.965, valid/num_kv_pairs/accuracy-64=0.943
valid/loss=0.294, valid/accuracy=0.96, valid/num_kv_pairs/accuracy-4=0.989, valid/num_kv_pairs/accuracy-8=0.985, valid/num_kv_pairs/accuracy-16=0.922, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.941
valid/loss=0.313, valid/accuracy=0.96, valid/num_kv_pairs/accuracy-4=0.989, valid/num_kv_pairs/accuracy-8=0.985, valid/num_kv_pairs/accuracy-16=0.922, valid/num_kv_pairs/accuracy-32=0.963, valid/num_kv_pairs/accuracy-64=0.941
valid/loss=0.332, valid/accuracy=0.958, valid/num_kv_pairs/accuracy-4=0.988, valid/num_kv_pairs/accuracy-8=0.99, valid/num_kv_pairs/accuracy-16=0.923, valid/num_kv_pairs/accuracy-32=0.96, valid/num_kv_pairs/accuracy-64=0.928
