PyTorch 2.11.0 for DeltaAI (CUDA 13.0, Python 3.12)
Includes: transformers, accelerate, datasets, peft, lightning,
          timm, bitsandbytes, diffusers, mpi4py, tensorboard,
          wandb, jupyter, scipy, scikit-learn, opencv, nvitop
New in this build (sm_90 source builds):
  flash-attn, transformer_engine, xformers, apex, mamba-ssm,
  triton, torch-geometric, cupy-cuda13x, tensorrt, flashinfer
Known: transformer_engine and cupy currently fail at import due to
  a cu13 libcublasLt / cython ABI mismatch on this stack — use the
  other attention paths (flash-attn, xformers) and stock torch CUDA
  until an upstream fix lands.

For documentation and examples:
  https://docs.ncsa.illinois.edu/systems/deltaai/

Run setup-kernel prior to launching OOD job.

Quick start (on a compute node):
  module load python/miniforge3_pytorch/2.11.0
  conda activate base
  python -c "import torch; print(torch.cuda.is_available())"

CUDA extensions: CUDA_HOME, nvcc, and CMAKE_PREFIX_PATH come from the
auto-loaded cuda/13.1.1 module.

host: gh135.hsn.cm.delta.internal.ncsa.edu   started: Thu Sep  3 03:45:39 PM CDT 2026
name, memory.total [MiB], driver_version
NVIDIA GH200 120GB, 97871 MiB, 595.71.05
torch 2.11.0+cu130 cuda True
triton 3.5.1

==== arm: --arm softmax   Thu Sep  3 03:45:43 PM CDT 2026 ====
{
 "run": "softmax_qkn",
 "arm": "softmax",
 "d": 1,
 "T": 4096,
 "layers": 4,
 "d_model": 256,
 "heads": 4,
 "r": 64,
 "learn_phi": false,
 "qk_norm": true,
 "chunk": 128,
 "steps": 20000,
 "nb": 8,
 "lr": 0.0003,
 "warmup": 500,
 "wd": 0.1,
 "clip": 1.0,
 "eval_every": 2000,
 "val_windows": 256,
 "eval_nb": 8,
 "data": "/u/archerdw/smat_attention/deltaai/data/enwik8",
 "out": "results/lm_T4096_20k_qkn.csv",
 "device": "cuda",
 "no_amp": false,
 "seed": 0
}
mask: {'mask_nnz': 8390656, 'mask_density': 0.5001220703125}
params: 4,336,128
step  3150  loss 1.5322  bpc 2.211  gn 1.42  14 ms/step
step  3200  loss 1.5533  bpc 2.241  gn 1.66  14 ms/step
step  3250  loss 1.4539  bpc 2.098  gn 1.36  14 ms/step
step  3300  loss 1.4166  bpc 2.044  gn 1.48  14 ms/step
step  3350  loss 1.3161  bpc 1.899  gn 1.52  14 ms/step
step  3400  loss 1.4688  bpc 2.119  gn 1.07  14 ms/step
step  3450  loss 1.3723  bpc 1.980  gn 1.06  14 ms/step
step  3500  loss 1.3515  bpc 1.950  gn 1.32  14 ms/step
step  3550  loss 1.3832  bpc 1.996  gn 1.46  14 ms/step
step  3600  loss 1.3747  bpc 1.983  gn 1.19  14 ms/step
step  3650  loss 1.4263  bpc 2.058  gn 1.08  14 ms/step
step  3700  loss 1.4221  bpc 2.052  gn 1.04  14 ms/step
step  3750  loss 1.2426  bpc 1.793  gn 1.03  14 ms/step
step  3800  loss 1.3511  bpc 1.949  gn 1.13  14 ms/step
step  3850  loss 1.2866  bpc 1.856  gn 1.14  14 ms/step
step  3900  loss 1.3536  bpc 1.953  gn 1.08  14 ms/step
step  3950  loss 1.4043  bpc 2.026  gn 1.06  14 ms/step
step  4000  loss 1.3114  bpc 1.892  gn 0.95  14 ms/step
== eval step 4000: val_bpc 1.9316  ppl 3.815  [0:512) 2.066  [512:2048) 1.921  [2048:4096) 1.906  peak 1862 MB
step  4050  loss 1.3401  bpc 1.933  gn 1.10  14 ms/step
step  4100  loss 1.3018  bpc 1.878  gn 0.93  14 ms/step
step  4150  loss 1.2332  bpc 1.779  gn 0.95  14 ms/step
step  4200  loss 1.3576  bpc 1.959  gn 0.92  14 ms/step
step  4250  loss 1.3579  bpc 1.959  gn 0.96  14 ms/step
step  4300  loss 1.2783  bpc 1.844  gn 0.97  14 ms/step
step  4350  loss 1.2619  bpc 1.820  gn 0.93  14 ms/step
step  4400  loss 1.3116  bpc 1.892  gn 1.38  14 ms/step
step  4450  loss 1.3420  bpc 1.936  gn 0.91  14 ms/step
step  4500  loss 1.2275  bpc 1.771  gn 0.93  14 ms/step
step  4550  loss 1.2546  bpc 1.810  gn 0.89  14 ms/step
step  4600  loss 1.1876  bpc 1.713  gn 0.86  14 ms/step
step  4650  loss 1.1581  bpc 1.671  gn 0.86  14 ms/step
step  4700  loss 1.2521  bpc 1.806  gn 0.86  14 ms/step
step  4750  loss 1.1206  bpc 1.617  gn 0.88  14 ms/step
step  4800  loss 1.2129  bpc 1.750  gn 0.90  14 ms/step
step  4850  loss 1.3301  bpc 1.919  gn 0.88  14 ms/step
step  4900  loss 1.3113  bpc 1.892  gn 0.83  14 ms/step
step  4950  loss 1.2161  bpc 1.754  gn 0.79  14 ms/step
step  5000  loss 1.1860  bpc 1.711  gn 0.92  14 ms/step
step  5050  loss 1.1601  bpc 1.674  gn 0.81  14 ms/step
step  5100  loss 1.2376  bpc 1.785  gn 0.87  14 ms/step
step  5150  loss 1.2008  bpc 1.732  gn 0.87  14 ms/step
step  5200  loss 1.2266  bpc 1.770  gn 0.85  14 ms/step
step  5250  loss 1.1500  bpc 1.659  gn 0.84  14 ms/step
step  5300  loss 1.1123  bpc 1.605  gn 0.84  14 ms/step
step  5350  loss 1.1593  bpc 1.673  gn 0.87  14 ms/step
step  5400  loss 1.1353  bpc 1.638  gn 0.82  14 ms/step
step  5450  loss 1.2309  bpc 1.776  gn 0.94  14 ms/step
step  5500  loss 1.2731  bpc 1.837  gn 0.80  14 ms/step
step  5550  loss 1.2489  bpc 1.802  gn 0.80  14 ms/step
step  5600  loss 1.1891  bpc 1.715  gn 0.89  14 ms/step
step  5650  loss 1.2578  bpc 1.815  gn 0.86  14 ms/step
step  5700  loss 1.1360  bpc 1.639  gn 0.99  14 ms/step
step  5750  loss 1.2455  bpc 1.797  gn 0.77  14 ms/step
step  5800  loss 1.2143  bpc 1.752  gn 0.87  14 ms/step
step  5850  loss 1.1927  bpc 1.721  gn 0.82  14 ms/step
step  5900  loss 1.1314  bpc 1.632  gn 0.75  14 ms/step
step  5950  loss 1.2225  bpc 1.764  gn 0.77  14 ms/step
step  6000  loss 1.2414  bpc 1.791  gn 0.73  14 ms/step
== eval step 6000: val_bpc 1.7403  ppl 3.341  [0:512) 1.876  [512:2048) 1.728  [2048:4096) 1.716  peak 1862 MB
step  6050  loss 1.1646  bpc 1.680  gn 0.80  14 ms/step
step  6100  loss 1.2350  bpc 1.782  gn 0.86  14 ms/step
step  6150  loss 1.2890  bpc 1.860  gn 0.79  14 ms/step
step  6200  loss 1.2624  bpc 1.821  gn 0.76  14 ms/step
step  6250  loss 1.0858  bpc 1.566  gn 0.83  14 ms/step
step  6300  loss 1.1257  bpc 1.624  gn 0.75  14 ms/step
step  6350  loss 1.1667  bpc 1.683  gn 0.80  14 ms/step
step  6400  loss 1.2346  bpc 1.781  gn 0.81  14 ms/step
step  6450  loss 1.1723  bpc 1.691  gn 0.80  14 ms/step
step  6500  loss 1.1107  bpc 1.602  gn 0.74  14 ms/step
step  6550  loss 1.1908  bpc 1.718  gn 0.83  14 ms/step
step  6600  loss 1.2077  bpc 1.742  gn 0.74  14 ms/step
step  6650  loss 1.2094  bpc 1.745  gn 0.79  14 ms/step
step  6700  loss 1.2191  bpc 1.759  gn 0.74  14 ms/step
step  6750  loss 1.1815  bpc 1.705  gn 0.88  14 ms/step
step  6800  loss 1.0907  bpc 1.574  gn 0.74  14 ms/step
step  6850  loss 1.1743  bpc 1.694  gn 0.82  14 ms/step
