step  3100  loss 2.3188  bpc 3.345  gn 0.66  19 ms/step
step  3150  loss 2.2709  bpc 3.276  gn 0.62  19 ms/step
step  3200  loss 2.3382  bpc 3.373  gn 0.45  19 ms/step
step  3250  loss 2.2926  bpc 3.308  gn 0.64  19 ms/step
step  3300  loss 2.2552  bpc 3.254  gn 0.94  19 ms/step
step  3350  loss 2.2500  bpc 3.246  gn 0.74  19 ms/step
step  3400  loss 2.3317  bpc 3.364  gn 0.56  19 ms/step
step  3450  loss 2.1787  bpc 3.143  gn 0.55  19 ms/step
step  3500  loss 2.2566  bpc 3.256  gn 0.70  19 ms/step
step  3550  loss 2.2743  bpc 3.281  gn 0.79  19 ms/step
step  3600  loss 2.2969  bpc 3.314  gn 0.95  19 ms/step
step  3650  loss 2.2904  bpc 3.304  gn 0.68  19 ms/step
step  3700  loss 2.3359  bpc 3.370  gn 0.55  19 ms/step
step  3750  loss 2.1377  bpc 3.084  gn 0.67  19 ms/step
step  3800  loss 2.2875  bpc 3.300  gn 0.67  19 ms/step
step  3850  loss 2.1991  bpc 3.173  gn 0.74  19 ms/step
step  3900  loss 2.2301  bpc 3.217  gn 0.60  19 ms/step
step  3950  loss 2.3594  bpc 3.404  gn 0.65  19 ms/step
step  4000  loss 2.2714  bpc 3.277  gn 0.66  19 ms/step
== eval step 4000: val_bpc 3.2981  ppl 9.836  [0:512) 3.259  [512:2048) 3.309  [2048:4096) 3.300  peak 2377 MB
step  4050  loss 2.2638  bpc 3.266  gn 0.59  19 ms/step
step  4100  loss 2.2351  bpc 3.225  gn 0.68  19 ms/step
step  4150  loss 2.1759  bpc 3.139  gn 0.73  19 ms/step
step  4200  loss 2.2351  bpc 3.225  gn 0.79  19 ms/step
step  4250  loss 2.3256  bpc 3.355  gn 0.63  19 ms/step
step  4300  loss 2.2801  bpc 3.289  gn 0.65  19 ms/step
step  4350  loss 2.1808  bpc 3.146  gn 0.77  19 ms/step
step  4400  loss 2.2659  bpc 3.269  gn 0.63  19 ms/step
step  4450  loss 2.2556  bpc 3.254  gn 0.61  19 ms/step
step  4500  loss 2.1470  bpc 3.097  gn 0.57  19 ms/step
step  4550  loss 2.2602  bpc 3.261  gn 0.67  19 ms/step
step  4600  loss 2.1826  bpc 3.149  gn 0.68  19 ms/step
step  4650  loss 2.0860  bpc 3.010  gn 0.86  19 ms/step
step  4700  loss 2.2163  bpc 3.197  gn 0.87  19 ms/step
step  4750  loss 2.2115  bpc 3.191  gn 0.79  19 ms/step
step  4800  loss 2.2055  bpc 3.182  gn 0.67  19 ms/step
