    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d2_hd16_h2_sig_cread_m2blk_s4-dm64-lr1.0e-02'
valid/loss=8.32, valid/accuracy=0.000244, valid/num_kv_pairs/accuracy-4=0.00025, valid/num_kv_pairs/accuracy-8=0.000125, valid/num_kv_pairs/accuracy-16=0.000188, valid/num_kv_pairs/accuracy-32=0.000313, valid/num_kv_pairs/accuracy-64=0.000344
valid/loss=1.2, valid/accuracy=0.8, valid/num_kv_pairs/accuracy-4=0.965, valid/num_kv_pairs/accuracy-8=0.904, valid/num_kv_pairs/accuracy-16=0.91, valid/num_kv_pairs/accuracy-32=0.767, valid/num_kv_pairs/accuracy-64=0.452
valid/loss=0.938, valid/accuracy=0.842, valid/num_kv_pairs/accuracy-4=0.974, valid/num_kv_pairs/accuracy-8=0.924, valid/num_kv_pairs/accuracy-16=0.935, valid/num_kv_pairs/accuracy-32=0.83, valid/num_kv_pairs/accuracy-64=0.549
valid/loss=0.914, valid/accuracy=0.846, valid/num_kv_pairs/accuracy-4=0.972, valid/num_kv_pairs/accuracy-8=0.931, valid/num_kv_pairs/accuracy-16=0.939, valid/num_kv_pairs/accuracy-32=0.843, valid/num_kv_pairs/accuracy-64=0.544
valid/loss=0.879, valid/accuracy=0.853, valid/num_kv_pairs/accuracy-4=0.98, valid/num_kv_pairs/accuracy-8=0.941, valid/num_kv_pairs/accuracy-16=0.923, valid/num_kv_pairs/accuracy-32=0.853, valid/num_kv_pairs/accuracy-64=0.57
valid/loss=0.804, valid/accuracy=0.861, valid/num_kv_pairs/accuracy-4=0.984, valid/num_kv_pairs/accuracy-8=0.936, valid/num_kv_pairs/accuracy-16=0.947, valid/num_kv_pairs/accuracy-32=0.866, valid/num_kv_pairs/accuracy-64=0.571
valid/loss=0.788, valid/accuracy=0.864, valid/num_kv_pairs/accuracy-4=0.981, valid/num_kv_pairs/accuracy-8=0.943, valid/num_kv_pairs/accuracy-16=0.953, valid/num_kv_pairs/accuracy-32=0.872, valid/num_kv_pairs/accuracy-64=0.573
valid/loss=0.753, valid/accuracy=0.869, valid/num_kv_pairs/accuracy-4=0.986, valid/num_kv_pairs/accuracy-8=0.949, valid/num_kv_pairs/accuracy-16=0.954, valid/num_kv_pairs/accuracy-32=0.873, valid/num_kv_pairs/accuracy-64=0.585
valid/loss=0.756, valid/accuracy=0.871, valid/num_kv_pairs/accuracy-4=0.986, valid/num_kv_pairs/accuracy-8=0.961, valid/num_kv_pairs/accuracy-16=0.936, valid/num_kv_pairs/accuracy-32=0.871, valid/num_kv_pairs/accuracy-64=0.6
valid/loss=0.75, valid/accuracy=0.874, valid/num_kv_pairs/accuracy-4=0.987, valid/num_kv_pairs/accuracy-8=0.964, valid/num_kv_pairs/accuracy-16=0.936, valid/num_kv_pairs/accuracy-32=0.873, valid/num_kv_pairs/accuracy-64=0.609
valid/loss=0.746, valid/accuracy=0.873, valid/num_kv_pairs/accuracy-4=0.988, valid/num_kv_pairs/accuracy-8=0.968, valid/num_kv_pairs/accuracy-16=0.941, valid/num_kv_pairs/accuracy-32=0.877, valid/num_kv_pairs/accuracy-64=0.591
