run,d,k,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d4_k2_plane_oracle_T1024_s0,4,2,plane,oracle,2500,0.1049950048327446,0.794921875,36.046963691711426,5,125,155,True,90.15101356506348
mkar_d4_k2_plane_oracle_T1024_s0,4,2,plane,oracle,3000,0.07018927484750748,0.751953125,33.76754665374756,5,125,155,True,90.26164277394612
mkar_d4_k2_plane_oracle_T1024_s0,4,2,plane,oracle,3500,0.0844920352101326,0.783203125,36.4048285484314,5,125,155,True,90.34002031598773
mkar_d4_k2_plane_oracle_T1024_s0,4,2,plane,oracle,4000,0.10328519344329834,0.814453125,35.34601068496704,5,125,155,True,90.40453320741653
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,500,0.13070766627788544,0.708984375,22.85869598388672,5,125,155,True,91.66605186462402
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,1000,0.11490611732006073,0.83984375,27.716046571731567,5,125,155,True,91.25458288192749
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,1500,0.09521716088056564,0.7109375,23.798097848892212,5,125,155,True,91.14328527450562
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,2000,0.09240651875734329,0.787109375,29.322314739227295,5,125,155,True,91.0683217048645
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,2500,0.13939720392227173,0.79296875,28.509380340576172,5,125,155,True,91.00486907958984
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,3000,0.09858067333698273,0.791015625,28.46837067604065,5,125,155,True,90.97530388832092
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,3500,0.1075645238161087,0.896484375,31.183934450149536,5,125,155,True,90.94408014842442
mkar_d4_k3_plane_oracle_T1024_s0,4,3,plane,oracle,4000,0.08404327929019928,0.837890625,30.955899000167847,5,125,155,True,90.93348783254623
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,500,0.37751516699790955,0.0,4.5248939990997314,11,121,132,True,84.2946457862854
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,1000,0.3669144809246063,0.0,4.97545713186264,11,121,132,True,83.98368954658508
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,1500,0.3651696443557739,0.0,5.037698864936829,11,121,132,True,83.93822320302327
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,2000,0.36049866676330566,0.0,5.106886446475983,11,121,132,True,83.83917379379272
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,2500,0.3667033016681671,0.001953125,5.278301775455475,11,121,132,True,83.79866762161255
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,3000,0.3675459027290344,0.0,4.935358464717865,11,121,132,True,83.84498349825542
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,3500,0.37214237451553345,0.0,5.207402408123016,11,121,132,True,83.8857455934797
mkar_d3_k2_plane_learned_T1024_s0,3,2,plane,learned,4000,0.3772836923599243,0.001953125,5.101620256900787,11,121,132,True,83.8627210855484
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,500,0.6326013803482056,0.0,1.379291981458664,5,125,155,True,89.50931072235107
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,1000,0.5433353185653687,0.0,2.1744863092899323,5,125,155,True,89.1202335357666
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,1500,0.5583199262619019,0.0,2.268221139907837,5,125,155,True,89.04927603403728
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,2000,0.5412806868553162,0.0,2.3247018456459045,5,125,155,True,89.23934423923492
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,2500,0.5447181463241577,0.0,2.5001634061336517,5,125,155,True,89.35335597991943
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,3000,0.5323185324668884,0.0,2.432423710823059,5,125,155,True,89.44320885340373
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,3500,0.5290417075157166,0.0,2.6574220061302185,5,125,155,True,89.46573536736625
mkar_d4_k3_plane_learned_T1024_s0,4,3,plane,learned,4000,0.5363790392875671,0.0,2.5023238956928253,5,125,155,True,89.39642870426178
