run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,ms_per_step,elapsed_s
softmax_p16,softmax,,16,16,128,500,4.860439300537109,0.0087890625,4.871198266744614,13.383360862731934,6.810634136199951
softmax_p16,softmax,,16,16,128,1000,1.4814715385437012,0.73681640625,1.4678083583712578,12.78538703918457,13.28289270401001
softmax_p16,softmax,,16,16,128,1500,0.001149220741353929,1.0,0.0005706867868866539,12.78914213180542,19.74423599243164
softmax_p16,softmax,,16,16,128,2000,1.3722205039812252e-05,1.0,1.4296676852154633e-05,12.781466007232666,26.200820446014404
softmax_p16,softmax,,16,16,128,2500,1.25449048482551e-06,1.0,1.2446534967125444e-06,12.807526111602783,32.67222285270691
smat_d1_p16,smat,1,16,16,128,500,4.8403191566467285,0.012451171875,4.845843434333801,22.688762187957764,11.48686957359314
smat_d1_p16,smat,1,16,16,128,1000,4.80637264251709,0.01171875,4.810686379671097,21.568098068237305,22.403099536895752
smat_d1_p16,smat,1,16,16,128,1500,4.809636116027832,0.013916015625,4.800713419914246,21.59898805618286,33.33211946487427
smat_d1_p16,smat,1,16,16,128,2000,4.799402236938477,0.01513671875,4.808626860380173,21.52207612991333,44.22473073005676
smat_d1_p16,smat,1,16,16,128,2500,4.793245315551758,0.012939453125,4.7942885756492615,21.46926498413086,55.09240102767944
smat_d2_p16,smat,2,16,16,128,500,4.858316421508789,0.00927734375,4.871503293514252,25.720151901245117,13.028285026550293
smat_d2_p16,smat,2,16,16,128,1000,4.863620281219482,0.0068359375,4.8571560978889465,24.32392692565918,25.331347465515137
smat_d2_p16,smat,2,16,16,128,1500,4.848362922668457,0.005615234375,4.856224775314331,24.3993182182312,37.67316794395447
smat_d2_p16,smat,2,16,16,128,2000,4.851987838745117,0.01025390625,4.851467669010162,24.480909824371338,50.05382966995239
smat_d2_p16,smat,2,16,16,128,2500,4.8495025634765625,0.010986328125,4.852202743291855,24.39382028579712,62.39120888710022
smat_d3_p16,smat,3,16,16,128,500,4.806036949157715,0.007568359375,4.851852625608444,31.264680862426758,15.789418458938599
smat_d3_p16,smat,3,16,16,128,1000,4.80908203125,0.01220703125,4.805379688739777,29.18579387664795,30.525400638580322
smat_d3_p16,smat,3,16,16,128,1500,4.762861251831055,0.012451171875,4.8162417113780975,29.197165966033936,45.276296615600586
smat_d3_p16,smat,3,16,16,128,2000,4.798605918884277,0.014892578125,4.7900490164756775,29.23868989944458,60.03700923919678
smat_d3_p16,smat,3,16,16,128,2500,4.824511528015137,0.014892578125,4.79387104511261,29.275031566619873,74.81751346588135
smat_d1_p16_taylor16,smat,1,16,16,128,500,4.796463966369629,0.014892578125,4.799751669168472,32.19939708709717,16.290928602218628
smat_d1_p16_taylor16,smat,1,16,16,128,1000,4.783121109008789,0.017822265625,4.763229161500931,31.558842182159424,32.22904300689697
smat_d1_p16_taylor16,smat,1,16,16,128,1500,4.746166229248047,0.0185546875,4.753892779350281,31.044347763061523,47.896806716918945
smat_d1_p16_taylor16,smat,1,16,16,128,2000,4.754582405090332,0.019775390625,4.725704580545425,31.24100399017334,63.66114377975464
smat_d1_p16_taylor16,smat,1,16,16,128,2500,4.712203502655029,0.016845703125,4.739573687314987,30.9765567779541,79.29034185409546
