T,d,kind,B,source,cols,k,n_patterns,n_requests,answerable,answerable_frac,full_2k,sauer,n_scored,exact_support_frac,nmse,nmse_answerable,max_leak,seconds
1024,1,geometric,1,witness,513,1,2,2,2,1.0,2,2,2,1.0,7.60436359465105e-14,7.60436359465105e-14,0.0,2.080116655677557
1024,1,geometric,1,witness+greedy,513 219,2,3,4,3,0.75,4,3,4,0.75,0.0077392209669803055,1.2155841102339595e-13,0.0,0.027357954531908035
1024,1,geometric,1,witness+greedy,513 154 408,3,4,8,4,0.5,8,4,8,0.5,0.11839002020404076,1.1767132467273556e-13,0.8022878856863827,0.03502117097377777
1024,1,geometric,1,witness+greedy,513 351 305 491,4,5,16,5,0.3125,16,5,16,0.3125,0.2718705397380372,2.1793399112631686e-13,1.3478059452027082,0.058512335643172264
1024,1,geometric,1,witness+greedy,513 457 494 14 270,5,6,32,6,0.1875,32,6,32,0.1875,0.18935400580745462,1.7725175761279551e-13,2.048896192573011,0.0961514450609684
1024,1,geometric,1,witness+greedy,513 393 146 489 264 491,6,7,64,7,0.109375,64,7,64,0.109375,0.24730608133289653,2.2046050289053165e-13,2.028612024150789,0.15680976957082748
1024,2,geometric,23,witness,1,1,2,2,2,1.0,2,2,2,1.0,6.084294881300336e-17,6.084294881300336e-17,0.0,0.003947824239730835
1024,2,geometric,23,witness,1 535,2,4,4,4,1.0,4,4,4,1.0,8.364844485877714e-16,8.364844485877714e-16,0.0,0.006956323981285095
1024,2,geometric,23,witness+greedy,1 535 276,3,7,8,7,0.875,8,7,8,0.875,0.0635242811718427,7.332878653701615e-14,0.0,0.03412605635821819
1024,2,geometric,23,witness+greedy,1 535 263 237,4,10,16,10,0.625,16,11,16,0.625,0.12097022285981797,7.689298457325235e-14,0.0,0.06747034564614296
1024,2,geometric,23,witness+greedy,1 535 117 75 281,5,13,32,13,0.40625,32,16,32,0.40625,0.1115769390879277,7.903163935948786e-14,0.25438456737902015,0.11508318223059177
1024,2,geometric,23,witness+greedy,1 535 184 491 494 319,6,16,64,16,0.25,64,22,64,0.25,0.14901237932225966,5.5253655311444024e-14,1.9720390043221414,0.19434125162661076
1024,3,geometric,132,witness,11,1,2,2,2,1.0,2,2,2,1.0,4.496630924487231e-15,4.496630924487231e-15,0.0,0.00515475869178772
1024,3,geometric,132,witness,11 1,2,4,4,4,1.0,4,4,4,1.0,7.788513000460482e-15,7.788513000460482e-15,0.0,0.008360784500837326
1024,3,geometric,132,witness,11 1 644,3,8,8,8,1.0,8,8,8,1.0,9.95161049190011e-14,9.95161049190011e-14,0.0,0.014989599585533142
1024,3,geometric,132,witness+greedy,11 1 644 379,4,15,16,15,0.9375,16,15,16,0.9375,0.003320550280296438,1.1404145069631113e-13,0.0,0.08837968111038208
1024,3,geometric,132,witness+greedy,11 1 644 293 398,5,24,32,24,0.75,32,26,32,0.75,0.035856515964518575,1.111415287643278e-13,0.0,0.17928000912070274
1024,3,geometric,132,witness+greedy,11 1 644 144 64 338,6,35,64,35,0.546875,64,42,64,0.546875,0.09858350391900098,8.530982822006804e-14,1.7831685743294656,0.3081371784210205
1024,4,geometric,155,witness,25,1,2,2,2,1.0,2,2,2,1.0,3.100273717191941e-15,3.100273717191941e-15,0.0,0.00558597594499588
1024,4,geometric,155,witness,25 5,2,4,4,4,1.0,4,4,4,1.0,1.3272096310017777e-14,1.3272096310017777e-14,0.0,0.009268905967473984
1024,4,geometric,155,witness,25 5 1,3,8,8,8,1.0,8,8,8,1.0,4.789277665657867e-15,4.789277665657867e-15,0.0,0.01768391765654087
1024,4,geometric,155,witness,25 5 1 667,4,16,16,16,1.0,16,16,16,1.0,5.684396622010863e-14,5.684396622010863e-14,0.0,0.031113535165786743
1024,4,geometric,155,witness+greedy,25 5 1 667 415,5,31,32,31,0.96875,32,31,32,0.96875,0.013427481671405016,5.921691016109485e-14,0.0,0.1306769084185362
1024,4,geometric,155,witness+greedy,25 5 1 667 403 230,6,54,64,54,0.84375,64,57,64,0.84375,0.038572462685895995,6.560156360459503e-14,0.0,0.26366641744971275
