run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T512_p16_dm256_s1_nogate,smat,1,16,16,128,2000,4.773390769958496,0.007568359375,4.808755189180374,0.831 0.806 0.871 0.901,,,,46.56211495399475,282.2488718032837,256,4,64,0,1,4160,3490304
smat_d1_T512_p16_dm256_s1_nogate,smat,1,16,16,128,3000,4.788031578063965,0.016845703125,4.809543251991272,0.844 0.836 0.885 0.914,,,,49.794912338256836,332.2997422218323,256,4,64,0,1,4160,3490304
smat_d1_T512_p16_dm256_s1_nogate,smat,1,16,16,128,4000,4.801455020904541,0.011962890625,4.798338294029236,0.842 0.837 0.893 0.920,,,,49.71356797218323,382.2156310081482,256,4,64,0,1,4160,3490304
smat_d1_T512_p16_dm256_s1_nogate,smat,1,16,16,128,5000,4.796408653259277,0.015380859375,4.79458948969841,0.844 0.836 0.886 0.910,,,,50.34465670585632,432.7694046497345,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_dm256_s1_nogate,smat,2,16,16,128,1000,4.864050388336182,0.0087890625,4.856051802635193,0.886 0.895 0.892 0.893,,,,298.717080116272,298.9707281589508,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_dm256_s1_nogate,smat,2,16,16,128,2000,4.856564044952393,0.006103515625,4.853835850954056,0.882 0.891 0.891 0.891,,,,55.647669315338135,354.9008095264435,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_dm256_s1_nogate,smat,2,16,16,128,3000,4.827540397644043,0.010498046875,4.830188006162643,0.877 0.898 0.914 0.911,,,,56.68355894088745,411.81081986427307,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_dm256_s1_nogate,smat,2,16,16,128,4000,4.83232307434082,0.008056640625,4.827888548374176,0.866 0.912 0.922 0.902,,,,56.401901960372925,468.4377167224884,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_dm256_s1_nogate,smat,2,16,16,128,5000,4.8255839347839355,0.0107421875,4.8192872405052185,0.863 0.919 0.920 0.893,,,,55.17117691040039,523.8278431892395,256,4,64,0,1,4160,3490304
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_nogate,smat,2,16,16,128,1000,4.860563278198242,0.010986328125,4.857546359300613,0.893 0.890 0.893 0.893,0.074 0.062 0.077 0.079,0.988 0.984 0.982 0.985,0.059 0.061 0.062 0.061,318.54348707199097,319.22393321990967,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_nogate,smat,2,16,16,128,2000,4.856739044189453,0.006103515625,4.853968799114227,0.892 0.890 0.890 0.892,0.080 0.079 0.079 0.058,0.986 0.986 0.986 0.985,0.061 0.061 0.061 0.061,80.02076363563538,399.788702249527,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_nogate,smat,2,16,16,128,3000,4.855623722076416,0.010986328125,4.852785348892212,0.893 0.892 0.892 0.892,0.080 0.071 0.055 0.062,0.986 0.987 0.991 0.988,0.061 0.061 0.061 0.061,78.43905735015869,478.7716734409332,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_nogate,smat,2,16,16,128,4000,4.8475775718688965,0.00927734375,4.84532031416893,0.893 0.890 0.898 0.894,0.091 0.081 0.076 0.062,0.989 0.983 0.955 0.968,0.060 0.061 0.060 0.062,78.6742148399353,558.1244854927063,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_nogate,smat,2,16,16,128,5000,4.816628456115723,0.010986328125,4.833530485630035,0.893 0.896 0.916 0.894,0.064 0.058 0.083 0.082,0.989 0.970 0.976 0.978,0.060 0.066 0.061 0.062,78.38829135894775,637.1805918216705,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s1_nogate,smat,2,16,16,128,1000,0.783699631690979,0.84326171875,0.7239531762897968,0.819 0.790 0.846 0.861,0.944 0.949 0.945 0.941,0.408 0.866 0.809 0.760,0.586 0.116 0.146 0.190,289.2516074180603,289.88577675819397,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s1_nogate,smat,2,16,16,128,2000,0.09289531409740448,0.98046875,0.08111677202396095,0.808 0.877 0.868 0.878,0.929 0.929 0.928 0.928,0.322 0.744 0.627 0.496,0.632 0.194 0.320 0.426,74.67277550697327,365.19337797164917,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s1_nogate,smat,2,16,16,128,3000,0.020001765340566635,0.996826171875,0.011360724180121906,0.807 0.870 0.854 0.890,0.941 0.946 0.941 0.938,0.296 0.685 0.614 0.502,0.654 0.250 0.335 0.419,74.5137619972229,440.3341121673584,256,4,64,0,1,4160,3494432
