run,arm,d,step,train_loss,train_loss_med200,val_bpc,val_ppl,val_bpc_0_512,val_bpc_512_4096,val_bpc_4096_8192,grad_norm,nonfinite_steps,ms_per_step,peak_MB,params,elapsed_s,mask_nnz,mask_density
softmax_qkn,softmax,,2000,2.3698513507843018,2.3557214736938477,3.4023492069465955,10.573266213781714,3.4281059184429967,3.390230987881989,3.409733059691075,0.6034228801727295,0,30.452160000801086,3614.45556640625,5384704,61.19777536392212,33558528,0.50006103515625
softmax_qkn,softmax,,4000,1.6092042922973633,1.5740641355514526,2.2917329588455906,4.896439160588935,2.367009963238322,2.284685917253679,2.2884894946894208,1.838327407836914,0,29.89285635948181,3614.45556640625,5384704,121.2033839225769,33558528,0.50006103515625
softmax_qkn,softmax,,6000,1.1469573974609375,1.1872071623802185,1.7429749098918088,3.3472467577979157,1.9288972755322362,1.7470851771140148,1.716138130367326,0.8571155071258545,0,29.909931421279907,3614.45556640625,5384704,181.24384760856628,33558528,0.50006103515625
softmax_qkn,softmax,,8000,1.0031988620758057,1.110379159450531,1.6444377673150807,3.1262600002990326,1.8202725016414454,1.64707488932568,1.6201509437650108,0.7273728251457214,0,29.94839906692505,3614.45556640625,5384704,241.3616383075714,33558528,0.50006103515625
softmax_qkn,softmax,,10000,1.0932793617248535,1.0753381252288818,1.5943278923503912,3.0195381326153328,1.768759214788088,1.5959332620324582,1.5711192785738708,0.7115623950958252,0,29.953956723213196,3614.45556640625,5384704,301.4900498390198,33558528,0.50006103515625
softmax_qkn,softmax,,12000,1.0893223285675049,1.0483258962631226,1.5560584000385251,2.940493701030696,1.7308160604898215,1.5559822577458418,1.5342803169882107,0.737903892993927,0,29.943387746810913,3614.45556640625,5384704,361.5969922542572,33558528,0.50006103515625
softmax_qkn,softmax,,14000,1.0184694528579712,1.0284366011619568,1.5317839151995865,2.891431482184096,1.7041866567273345,1.5326544242563245,1.5094718770839717,0.6928887367248535,0,29.915636897087097,3614.45556640625,5384704,421.64959692955017,33558528,0.50006103515625
softmax_qkn,softmax,,16000,0.9742964506149292,1.0122246146202087,1.5151259943804103,2.858237886070253,1.6878964786171036,1.5147561219116283,1.4938533222610069,0.7112113833427429,0,29.919129133224487,3614.45556640625,5384704,481.7079417705536,33558528,0.50006103515625
softmax_qkn,softmax,,18000,1.0253725051879883,1.0085211992263794,1.5051796429367115,2.8386001500336002,1.6781857770236621,1.5045163611951888,1.484134247699675,0.6150561571121216,0,29.92730212211609,3614.45556640625,5384704,541.7865936756134,33558528,0.50006103515625
softmax_qkn,softmax,,20000,0.9984561204910278,1.002825140953064,1.5026037134738994,2.8335363564914875,1.6751537459762273,1.5020670473480107,1.4815045422712607,0.609299898147583,0,29.89100170135498,3614.45556640625,5384704,601.7915148735046,33558528,0.50006103515625
smat_d1_qkn_tri,smat,1,2000,2.472933769226074,2.4693223237991333,3.572790725951028,11.89918390582856,3.5780477113902034,3.567576036914954,3.576696455677694,0.5497361421585083,0,39.38522982597351,4654.546875,5384704,79.04832673072815,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,4000,2.4428791999816895,2.4019882678985596,3.480147799691035,11.159092487114565,3.465406674848399,3.4652122310865616,3.495059062825278,0.7987244725227356,0,38.6459356546402,4654.546875,5384704,156.61733174324036,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,6000,2.3002378940582275,2.3528358936309814,3.4120495488516114,10.644597907323012,3.383486719799709,3.39401767086913,3.4313977957177704,0.6095421314239502,0,38.50391173362732,4654.546875,5384704,233.90288519859314,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,8000,2.239272117614746,2.302765369415283,3.3619310426363955,10.281159273249873,3.3051711160098165,3.336619308170462,3.3911738011224104,0.9492524862289429,0,38.50962972640991,4654.546875,5384704,311.19900345802307,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,10000,2.2726149559020996,2.2536628246307373,3.3079754098811036,9.903753520025141,3.238763938926096,3.2805834760228336,3.3405947858764646,0.6392825841903687,0,38.49713575839996,4654.546875,5384704,388.4695565700531,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,12000,2.2688450813293457,2.2222838401794434,3.261258432763303,9.588189567900761,3.1736831244964696,3.2323958346903203,3.297460119610516,0.5269080996513367,0,38.48725974559784,4654.546875,5384704,465.7196729183197,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,14000,2.176764488220215,2.1924428939819336,3.224633278985511,9.34784154331991,3.1249842985785308,3.193854520364786,3.2640208153295194,0.6325672268867493,0,38.49203634262085,4654.546875,5384704,542.9786570072174,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,16000,2.1600213050842285,2.1734718084335327,3.201114752062143,9.196690260557999,3.094925177234245,3.16934624525172,3.2421858923747493,0.6777369379997253,0,38.48817157745361,4654.546875,5384704,620.2299394607544,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,18000,2.1338534355163574,2.162303328514099,3.1873177809166813,9.109158476374793,3.0797725421791817,3.154828523472077,3.2291890360228983,0.8589563369750977,0,38.4882310628891,4654.546875,5384704,697.4825732707977,33558528,0.50006103515625,4096,0,1
smat_d1_qkn_tri,smat,1,20000,2.175647735595703,2.166740298271179,3.1839351635437643,9.087825691261864,3.076840824382138,3.1512940552781954,3.2258829256713413,0.6448565721511841,0,38.4892578125,4654.546875,5384704,774.7359557151794,33558528,0.50006103515625,4096,0,1
