run,arm,d,step,train_loss,train_loss_med200,val_bpc,val_ppl,val_bpc_0_512,val_bpc_512_2048,val_bpc_2048_4096,grad_norm,nonfinite_steps,ms_per_step,peak_MB,params,elapsed_s,mask_nnz,mask_density
softmax_qkn,softmax,,2000,2.1643643379211426,2.252916097640991,3.1742468421191976,9.027001468694948,3.171544989690722,3.180055220382338,3.170566021528962,1.267098307609558,0,14.2177574634552,1861.92431640625,4336128,28.682381629943848,8390656,0.5001220703125
softmax_qkn,softmax,,4000,1.3068861961364746,1.3248696327209473,1.9288587640817456,3.807538868050951,2.064370356537474,1.9174313153969849,1.9035514524813852,0.9323632121086121,0,14.031442642211914,1861.92431640625,4336128,56.953758001327515,8390656,0.5001220703125
softmax_qkn,softmax,,6000,1.2405240535736084,1.1878470182418823,1.7412153748474513,3.343166888013171,1.8739186097520337,1.7291825630611306,1.7170641749610467,0.7729324102401733,0,14.02975606918335,1861.92431640625,4336128,85.22177362442017,8390656,0.5001220703125
softmax_qkn,softmax,,8000,1.14259934425354,1.129685401916504,1.6636846124137845,3.168246557557396,1.791930207227413,1.6504474570772527,1.641551080212776,0.7413679361343384,0,14.034070014953613,1861.92431640625,4336128,113.4986400604248,8390656,0.5001220703125
softmax_qkn,softmax,,10000,0.9818773865699768,1.0952448844909668,1.6167690060766766,3.0668742342526945,1.7428808063654744,1.6029633720958916,1.5955952814900656,0.6497211456298828,0,14.06102168560028,1861.92431640625,4336128,141.82974410057068,8390656,0.5001220703125
softmax_qkn,softmax,,12000,1.1254279613494873,1.0743789672851562,1.5830447155425407,2.996014727244681,1.7085030865333817,1.5699932654767896,1.5614687103441431,0.7250211238861084,0,14.068761110305786,1861.92431640625,4336128,170.1769323348999,8390656,0.5001220703125
softmax_qkn,softmax,,14000,1.0067062377929688,1.0472667217254639,1.559742674091777,2.9480125662265766,1.6848411971406012,1.5457546489147684,1.538959062212328,0.7365669012069702,0,14.064022541046143,1861.92431640625,4336128,198.51418828964233,8390656,0.5001220703125
softmax_qkn,softmax,,16000,1.0568491220474243,1.0389578938484192,1.542023932503575,2.912027404484467,1.6657407425536794,1.5281515140389244,1.5214990438395375,0.751116931438446,0,14.064302444458008,1861.92431640625,4336128,226.85181665420532,8390656,0.5001220703125
softmax_qkn,softmax,,18000,1.063772439956665,1.0327032804489136,1.5311295277175123,2.890120264318303,1.6534166834559254,1.517335334498216,1.5109033836973818,0.7052268981933594,0,14.045056223869324,1861.92431640625,4336128,255.15066409111023,8390656,0.5001220703125
softmax_qkn,softmax,,20000,1.003968596458435,1.019755244255066,1.5287820551700655,2.88542144639873,1.651138450002319,1.5150193455715295,1.5085149886609042,0.6799514889717102,0,14.038125991821289,1861.92431640625,4336128,283.4356029033661,8390656,0.5001220703125
smat_d1_qkn,smat,1,2000,2.4007163047790527,2.422216057777405,3.497485433175738,11.294006277258863,3.4994064622433294,3.4952838996408344,3.49865632606002,0.5536139607429504,0,23.838283896446228,2891.64013671875,4352512,47.98848605155945,8390656,0.5001220703125,2048,0,1
smat_d1_qkn,smat,1,4000,nan,nan,nan,nan,nan,nan,nan,nan,133,23.710331916809082,2891.64013671875,4352512,95.72061228752136,8390656,0.5001220703125,2048,0,1
smat_d1_qkn,smat,1,6000,nan,nan,nan,nan,nan,nan,nan,nan,2132,22.6597660779953,2891.64013671875,4352512,141.35034680366516,8390656,0.5001220703125,2048,0,1
smat_d1_qkn,smat,1,8000,nan,nan,nan,nan,nan,nan,nan,nan,4132,22.659265995025635,2891.64013671875,4352512,186.97898077964783,8390656,0.5001220703125,2048,0,1
smat_d1_qkn,smat,1,10000,nan,nan,nan,nan,nan,nan,nan,nan,6132,26.127207398414612,2891.64013671875,4352512,239.79962134361267,8390656,0.5001220703125,2048,0,1
smat_d1_qkn,smat,1,12000,nan,nan,nan,nan,nan,nan,nan,nan,8132,22.99305248260498,2891.64013671875,4352512,286.0969982147217,8390656,0.5001220703125,2048,0,1
