run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,4500,6.364192962646484,0.0322265625,6.4289890229702,0.524 0.581,22.52187204360962,105.68876886367798,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,5000,6.244244575500488,0.037109375,6.2695616483688354,0.488 0.544,22.737629413604736,117.31019115447998,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,5500,6.194918155670166,0.044921875,6.142000153660774,0.571 0.637,22.890056610107422,129.0576949119568,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,6000,6.087183952331543,0.05126953125,6.0954994559288025,0.540 0.597,23.46976137161255,141.09149718284607,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,6500,5.957185745239258,0.05126953125,5.997446209192276,0.486 0.537,22.99275302886963,152.8860011100769,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,7000,5.998163223266602,0.0732421875,5.939629048109055,0.496 0.547,22.957154750823975,164.65761852264404,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,7500,5.940158843994141,0.06689453125,5.950845450162888,0.504 0.563,23.024956703186035,176.46717238426208,16,1,64,8,0,1088,273060
smat_d2_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,2,4,64,2048,8000,5.991708755493164,0.068359375,5.954895809292793,0.536 0.612,23.12842035293579,188.32646894454956,16,1,64,8,0,1088,273060
smat_d3_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,3,4,64,2048,500,8.35992431640625,0.0,8.351507127285004,0.464 0.492,25.07251787185669,12.868097305297852,16,1,64,8,0,1088,273060
smat_d3_T256_p4_zoo_P8_bank_dm16_s0_decaymamba2,smat,3,4,64,2048,1000,8.256341934204102,0.00048828125,8.19956186413765,0.413 0.563,24.641263008117676,25.501940965652466,16,1,64,8,0,1088,273060
