run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T1024_p16_dm256_s2_decaymamba2,smat,1,16,16,128,1000,4.754958152770996,0.015380859375,4.790599435567856,0.729 0.886 0.840 0.968,,,,40.887558460235596,41.05171084403992,256,4,64,0,2,4160,3625504
smat_d1_T1024_p16_dm256_s2_decaymamba2,smat,1,16,16,128,2000,4.673168182373047,0.033447265625,4.6801464557647705,0.879 0.900 0.824 0.964,,,,40.36207580566406,81.55744647979736,256,4,64,0,2,4160,3625504
smat_d1_T1024_p16_dm256_s2_decaymamba2,smat,1,16,16,128,3000,4.0949506759643555,0.056396484375,4.1537399888038635,0.920 0.928 0.877 0.950,,,,40.37845039367676,122.07934403419495,256,4,64,0,2,4160,3625504
smat_d1_T1024_p16_dm256_s2_decaymamba2,smat,1,16,16,128,4000,3.9033918380737305,0.085693359375,3.8261714577674866,0.923 0.926 0.887 0.948,,,,40.23996710777283,162.46281838417053,256,4,64,0,2,4160,3625504
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,2,16,16,128,1000,1.8918555974960327,0.486083984375,1.9977873712778091,0.867 0.812 0.763 0.810,0.938 0.938 0.938 0.938,0.272 0.322 0.317 0.616,0.532 0.454 0.468 0.284,71.04601907730103,71.48817467689514,256,4,64,0,2,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,2,16,16,128,2000,0.9516277313232422,0.754150390625,1.003044482320547,0.881 0.866 0.854 0.837,0.949 0.950 0.949 0.949,0.233 0.306 0.266 0.551,0.585 0.468 0.502 0.316,69.72181010246277,141.63430047035217,256,4,64,0,2,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,2,16,16,128,3000,0.433473140001297,0.91552734375,0.40195555053651333,0.878 0.874 0.830 0.839,0.949 0.949 0.949 0.949,0.231 0.281 0.259 0.561,0.589 0.486 0.507 0.318,69.71151781082153,211.77060890197754,256,4,64,0,2,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,2,16,16,128,4000,0.3300457298755646,0.933837890625,0.3215022776275873,0.879 0.869 0.822 0.846,0.941 0.941 0.941 0.941,0.222 0.276 0.258 0.565,0.591 0.488 0.506 0.318,69.74755549430847,281.9463427066803,256,4,64,0,2,4160,3629632
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,1000,0.342329740524292,0.914794921875,0.27341749984771013,0.685 0.574 0.611 0.862,0.879 0.881 0.879 0.880,0.349 0.623 0.488 0.535,0.354 0.092 0.220 0.173,194.46794033050537,195.1769049167633,256,4,64,0,2,4160,3633760
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,2000,0.2503235936164856,0.925537109375,0.21773527935147285,0.675 0.715 0.595 0.885,0.880 0.880 0.881 0.879,0.289 0.511 0.435 0.398,0.428 0.204 0.287 0.360,193.7178885936737,389.5926892757416,256,4,64,0,2,4160,3633760
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,3000,0.1365557461977005,0.934814453125,0.14141885470598936,0.672 0.733 0.629 0.923,0.887 0.888 0.887 0.887,0.284 0.453 0.403 0.391,0.458 0.274 0.324 0.383,193.97216534614563,584.2634568214417,256,4,64,0,2,4160,3633760
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,4000,0.0842481404542923,0.932861328125,0.11990766460075974,0.683 0.738 0.635 0.919,0.852 0.854 0.852 0.852,0.289 0.446 0.403 0.375,0.457 0.284 0.321 0.399,193.6601107120514,778.6214165687561,256,4,64,0,2,4160,3633760
smat_d3_T1024_p16_cplane_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,1000,2.4399161338806152,0.440185546875,2.321309059858322,0.860 0.799 0.763 0.784,0.879 0.880 0.879 0.879,0.308 0.402 0.480 0.679,0.331 0.259 0.214 0.079,207.35771417617798,208.1133017539978,256,4,64,0,2,4160,3682912
smat_d3_T1024_p16_cplane_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,2000,1.1223883628845215,0.7353515625,1.0010344348847866,0.883 0.738 0.814 0.763,0.881 0.879 0.879 0.885,0.298 0.336 0.404 0.615,0.362 0.302 0.277 0.124,206.6892762184143,415.53617429733276,256,4,64,0,2,4160,3682912
smat_d3_T1024_p16_cplane_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,3000,0.567722499370575,0.8505859375,0.5730451382696629,0.895 0.766 0.854 0.761,0.890 0.888 0.887 0.888,0.280 0.348 0.386 0.622,0.388 0.311 0.291 0.125,206.69682836532593,622.9666538238525,256,4,64,0,2,4160,3682912
smat_d3_T1024_p16_cplane_embed_frz_sh1_dm256_s2_decaymamba2,smat,3,16,16,128,4000,0.47054213285446167,0.85498046875,0.4628684502094984,0.897 0.785 0.852 0.792,0.852 0.857 0.854 0.856,0.275 0.368 0.396 0.622,0.395 0.295 0.283 0.123,206.8229901790619,830.5248265266418,256,4,64,0,2,4160,3682912
