task,family,width,d,split,cell,n,seeds,mean,std
joint,mamba2,64,1,test,c32-k16,5,"[123, 1, 2, 3, 4]",27.579443359375002,14.905239579525253
joint,mamba2,64,1,test,c8-k16,5,"[123, 1, 2, 3, 4]",52.200078125000005,29.097471063256837
joint,mamba2,64,1,test,macro,5,"[123, 1, 2, 3, 4]",60.242279296875004,17.975988415667874
joint,mamba2,64,1,validation,c1-k4,5,"[123, 1, 2, 3, 4]",98.42999999999999,2.726527668115616
joint,mamba2,64,1,validation,c16-k16,5,"[123, 1, 2, 3, 4]",39.1496484375,22.55862897149577
joint,mamba2,64,1,validation,c2-k8,5,"[123, 1, 2, 3, 4]",83.77374999999999,24.12431898731159
joint,mamba2,64,1,validation,c32-k16,5,"[123, 1, 2, 3, 4]",27.604609375,14.9436792730798
joint,mamba2,64,1,validation,c8-k16,5,"[123, 1, 2, 3, 4]",52.19171875,29.130757190830256
joint,mamba2,64,1,validation,macro,5,"[123, 1, 2, 3, 4]",60.2299453125,17.997044731633526
joint,mamba2,64,2,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.73,0.2091369915868528
joint,mamba2,64,2,test,c16-k16,5,"[123, 1, 2, 3, 4]",31.4496875,10.370245703993191
joint,mamba2,64,2,test,c2-k8,5,"[123, 1, 2, 3, 4]",95.035,1.5435549123948027
joint,mamba2,64,2,test,c32-k16,5,"[123, 1, 2, 3, 4]",20.077607421875,5.86699234381128
joint,mamba2,64,2,test,c8-k16,5,"[123, 1, 2, 3, 4]",45.1126171875,14.430855975944592
joint,mamba2,64,2,test,macro,5,"[123, 1, 2, 3, 4]",58.280982421874995,6.306122236549643
joint,mamba2,64,2,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.69500000000001,0.18255992166957144
joint,mamba2,64,2,validation,c16-k16,5,"[123, 1, 2, 3, 4]",31.4768359375,10.379209710063423
joint,mamba2,64,2,validation,c2-k8,5,"[123, 1, 2, 3, 4]",94.89562500000001,1.5648569722981116
