task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,half,half,2,2,23,23,1024,4096,placed,256,0.98046875,2048,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,256,0.99169921875,2048,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,4096,placed,1024,0.98193359375,2048,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,1024,0.98046875,2048,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,4096,placed,3072,0.98388671875,2048,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,3072,1.0,2048,1.0,7000,4006
mqar,half,half,2,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,4006
mqar,half,half,2,2,23,23,1024,8192,uniform,0,0.9931640625,1024,nan,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,uniform,0,1.0,1024,nan,7000,4006
mqar,half,half,2,2,23,23,1024,8192,placed,0,0.9833984375,1024,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,0,0.982421875,1024,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,8192,placed,256,0.982421875,1024,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,256,0.9833984375,1024,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,8192,placed,1024,0.974609375,1024,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,1024,0.982421875,1024,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,8192,placed,3072,0.9736328125,1024,0.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,3072,0.9853515625,1024,0.0,7000,4006
mqar,half,half,2,2,23,23,1024,8192,placed,7678,1.0,1024,1.0,7000,4006
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,7678,1.0,1024,1.0,7000,4006
mqar,win4,win4,2,2,23,23,1024,1024,uniform,0,0.9998779296875,8192,nan,7000,4052
mqar,win4,win4,2,2,23,23,1024,1024,placed,0,0.9927978515625,8192,0.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,1024,placed,256,1.0,8192,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,1024,placed,510,1.0,8192,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,2048,uniform,0,1.0,4096,nan,7000,4052
mqar,win4,win4,2,2,23,23,1024,2048,placed,0,0.99267578125,4096,0.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,2048,placed,256,1.0,4096,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,2048,placed,1024,1.0,4096,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,2048,placed,1534,1.0,4096,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,uniform,0,1.0,2048,nan,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,placed,0,0.99169921875,2048,0.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,placed,256,1.0,2048,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,placed,1024,1.0,2048,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,placed,3072,1.0,2048,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,uniform,0,1.0,1024,nan,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,placed,0,0.986328125,1024,0.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,placed,256,1.0,1024,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,placed,1024,1.0,1024,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,placed,3072,1.0,1024,1.0,7000,4052
mqar,win4,win4,2,2,23,23,1024,8192,placed,7678,1.0,1024,1.0,7000,4052
mqar,win8,win8,2,2,23,23,1024,1024,uniform,0,1.0,8192,nan,7000,4197
mqar,win8,win8,2,2,23,23,1024,1024,placed,0,0.9990234375,8192,0.5,7000,4197
mqar,win8,win8,2,2,23,23,1024,1024,placed,256,1.0,8192,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,1024,placed,510,1.0,8192,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,2048,uniform,0,1.0,4096,nan,7000,4197
mqar,win8,win8,2,2,23,23,1024,2048,placed,0,0.99951171875,4096,0.5,7000,4197
mqar,win8,win8,2,2,23,23,1024,2048,placed,256,1.0,4096,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,2048,placed,1024,1.0,4096,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,2048,placed,1534,1.0,4096,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,uniform,0,1.0,2048,nan,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,placed,0,0.9990234375,2048,0.5,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,placed,256,1.0,2048,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,placed,1024,1.0,2048,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,placed,3072,1.0,2048,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,uniform,0,1.0,1024,nan,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,placed,0,1.0,1024,0.5,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,placed,256,1.0,1024,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,placed,1024,1.0,1024,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,placed,3072,1.0,1024,1.0,7000,4197
mqar,win8,win8,2,2,23,23,1024,8192,placed,7678,1.0,1024,1.0,7000,4197
