task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win8,win8,2,2,37,37,2048,16384,0,128,1.7337773878219955,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,128,256,1.6451144882693323,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,256,384,1.588185427229966,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,384,512,1.5634156166338702,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,512,640,1.6433506320921887,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,640,768,1.6054728203358772,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,768,896,1.520422322353563,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,896,1024,1.5674887613476651,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1024,1152,1.5363356488386288,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1152,1280,1.5558589035937387,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1280,1408,1.5741662297138013,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1408,1536,1.5610001762934356,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1536,1664,1.5779620355016175,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1664,1792,1.5905922335721117,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1792,1920,1.5768532636454209,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,1920,2048,1.552587079915607,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2048,2176,1.5682102982575379,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2176,2304,1.5948631700122982,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2304,2432,1.5308950984621759,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2432,2560,1.5164251945251654,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2560,2688,1.5303745506100568,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2688,2816,1.5438681514787538,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2816,2944,1.5302700628924644,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,2944,3072,1.5767225752398577,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3072,3200,1.5714896832677516,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3200,3328,1.498487638314576,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3328,3456,1.5766124227269236,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3456,3584,1.5297016627611368,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3584,3712,1.5283273461020381,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3712,3840,1.5582091488135508,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3840,3968,1.5512595426425126,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,3968,4096,1.5394030419493347,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4096,4224,1.5659229073510246,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4224,4352,1.5657135935742998,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4352,4480,1.5921314218130413,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4480,4608,1.5386067204295975,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4608,4736,1.5776913272250859,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4736,4864,1.5740145935571017,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4864,4992,1.5472059123594473,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,4992,5120,1.5479413471449286,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5120,5248,1.5493557915466087,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5248,5376,1.5254580361351033,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5376,5504,1.571380916714127,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5504,5632,1.5655264235978268,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5632,5760,1.530705905828964,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5760,5888,1.5444637717432173,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,5888,6016,1.545372786217553,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6016,6144,1.5292402434594594,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6144,6272,1.580698020615873,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6272,6400,1.5195320129659424,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6400,6528,1.6141402196781194,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6528,6656,1.5455881799756728,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6656,6784,1.5414453313516439,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6784,6912,1.5832252272919174,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,6912,7040,1.533643911257874,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7040,7168,1.5708769761584804,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7168,7296,1.530177368169523,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7296,7424,1.5477313845336316,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7424,7552,1.5960253478088093,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7552,7680,1.5804395790355044,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7680,7808,1.5691395109888844,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7808,7936,1.5862202274606125,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,7936,8064,1.6244396297955586,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8064,8192,1.5666935537525455,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8192,8320,1.584085005022244,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8320,8448,1.5579131007477074,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8448,8576,1.5825516917880247,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8576,8704,1.545173856654405,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8704,8832,1.527672898202975,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8832,8960,1.599657948664874,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,8960,9088,1.529830697337379,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9088,9216,1.5561949997759494,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9216,9344,1.5382113059415818,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9344,9472,1.5616816368290496,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9472,9600,1.5161307177167112,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9600,9728,1.5296391480673863,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9728,9856,1.5818954325182206,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9856,9984,1.6027935569347498,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,9984,10112,1.580286217411477,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10112,10240,1.53973791205186,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10240,10368,1.5235111336392335,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10368,10496,1.5883231933621906,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10496,10624,1.5393405632366348,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10624,10752,1.5792213942395334,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10752,10880,1.5309419105830375,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,10880,11008,1.5318336697096662,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11008,11136,1.5458480045027152,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11136,11264,1.5395144473748799,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11264,11392,1.5646124475646732,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11392,11520,1.5483948503425728,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11520,11648,1.566685434676129,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11648,11776,1.5946437806754297,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11776,11904,1.5431947648247748,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,11904,12032,1.5486875169375791,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12032,12160,1.5472379603473292,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12160,12288,1.5791102114183635,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12288,12416,1.5326190773168196,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12416,12544,1.523427301869634,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12544,12672,1.503711716309662,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12672,12800,1.538234417422415,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12800,12928,1.5542704286405127,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,12928,13056,1.5381456300982743,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,13056,13184,1.519846366815703,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,13184,13312,1.5115427175138532,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,13312,13440,1.5938396822364713,64,6000,850
pg19,win8,win8,2,2,37,37,2048,16384,13440,13568,1.583003749455953,64,6000,850
