task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,0,0.27490234375,4096,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,4096,placed,256,0.28369140625,4096,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,256,0.27783203125,4096,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,4096,placed,1024,0.295654296875,4096,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,1024,0.2822265625,4096,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,4096,placed,3072,0.282470703125,4096,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,3072,0.995849609375,4096,1.0,7000,1636
mqar,half,half,2,2,23,23,1024,4096,placed,3582,0.993408203125,4096,1.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,4096,placed,3582,0.988525390625,4096,1.0,7000,1636
mqar,half,half,2,2,23,23,1024,8192,uniform,0,0.39111328125,2048,nan,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,uniform,0,0.74072265625,2048,nan,7000,1636
mqar,half,half,2,2,23,23,1024,8192,placed,0,0.1845703125,2048,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,0,0.1484375,2048,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,8192,placed,256,0.171875,2048,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,256,0.14208984375,2048,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,8192,placed,1024,0.16845703125,2048,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,1024,0.140625,2048,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,8192,placed,3072,0.16748046875,2048,0.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,3072,0.12890625,2048,0.0,7000,1636
mqar,half,half,2,2,23,23,1024,8192,placed,7678,0.994140625,2048,1.0,7000,1636
mqar,half_oracle,half,2,2,23,23,1024,8192,placed,7678,0.99365234375,2048,1.0,7000,1636
mqar,win4,win4,2,2,23,23,1024,1024,uniform,0,0.84210205078125,16384,nan,7000,1658
