task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,0,0.497314453125,16384,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,256,0.5137939453125,16384,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,510,0.9967041015625,16384,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,2048,uniform,0,0.6490478515625,8192,nan,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,0,0.3062744140625,8192,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,256,0.3011474609375,8192,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,1024,0.304443359375,8192,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,1534,0.996826171875,8192,1.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,uniform,0,0.6220703125,4096,nan,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,0,0.27685546875,4096,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,256,0.28076171875,4096,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,1024,0.27783203125,4096,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,3072,0.939208984375,4096,1.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,3582,0.970458984375,4096,1.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,uniform,0,0.529296875,2048,nan,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,0,0.1884765625,2048,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,256,0.21435546875,2048,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,1024,0.2041015625,2048,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,3072,0.1923828125,2048,0.0,7000,2413
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,7678,0.8798828125,2048,1.0,7000,2413
mqar,half,half,0,2,23,23,1024,1024,uniform,0,0.94451904296875,16384,nan,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,1024,uniform,0,0.9495849609375,16384,nan,7000,2453
mqar,half,half,0,2,23,23,1024,1024,placed,0,0.69854736328125,16384,0.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,1024,placed,0,0.6968994140625,16384,0.0,7000,2453
mqar,half,half,0,2,23,23,1024,1024,placed,256,1.0,16384,1.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,1024,placed,256,0.99993896484375,16384,1.0,7000,2453
mqar,half,half,0,2,23,23,1024,1024,placed,510,1.0,16384,1.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,1024,placed,510,1.0,16384,1.0,7000,2453
mqar,half,half,0,2,23,23,1024,2048,uniform,0,0.808349609375,8192,nan,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,2048,uniform,0,0.902099609375,8192,nan,7000,2453
mqar,half,half,0,2,23,23,1024,2048,placed,0,0.4940185546875,8192,0.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,2048,placed,0,0.51904296875,8192,0.0,7000,2453
mqar,half,half,0,2,23,23,1024,2048,placed,256,0.5076904296875,8192,0.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,2048,placed,256,0.5433349609375,8192,0.0,7000,2453
mqar,half,half,0,2,23,23,1024,2048,placed,1024,0.52685546875,8192,0.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,2048,placed,1024,0.9998779296875,8192,1.0,7000,2453
mqar,half,half,0,2,23,23,1024,2048,placed,1534,1.0,8192,1.0,7000,2453
mqar,half_oracle,half,0,2,23,23,1024,2048,placed,1534,1.0,8192,1.0,7000,2453
