family,width,d,epoch,complete,accuracy,accuracy_64_pairs,loss
gdn,32,1,32,True,69.86218749999999,10.223437500000001,1.6356865167617798
gdn,32,2,32,True,59.785312499999996,10.6984375,3.6453182697296143
gdn,32,3,32,True,43.566874999999996,5.137499999999999,6.311948299407959
gdn,32,4,32,True,68.0740625,15.9921875,2.098217248916626
gdn,64,1,32,True,43.384687500000005,1.1609375,3.527224063873291
gdn,64,2,32,True,43.9584375,7.8171875,5.187170028686523
gdn,64,3,32,True,40.5021875,5.301562499999999,6.3319292068481445
gdn,64,4,32,True,0.033125,0.03125,8.72161865234375
mamba2,16,1,32,True,42.0275,3.35,3.6362407207489014
mamba2,16,2,32,True,43.116875,3.41875,3.8560774326324463
mamba2,16,3,32,True,59.4746875,28.1984375,2.9542741775512695
mamba2,16,4,32,True,44.666250000000005,3.94375,4.046037197113037
mamba2,32,1,32,True,77.243125,25.99375,1.186577320098877
mamba2,32,2,32,True,75.68468750000001,39.5984375,1.3138456344604492
mamba2,32,3,32,True,83.9890625,68.1078125,1.0876166820526123
mamba2,32,4,32,True,84.218125,56.32812499999999,1.0437532663345337
mamba2,64,1,32,True,83.91999999999999,44.38125,0.7666246891021729
mamba2,64,2,32,True,90.51375,80.72500000000001,0.7203100323677063
mamba2,64,3,32,True,90.0965625,74.4296875,0.7363554239273071
mamba2,64,4,32,True,93.0165625,85.41093749999999,0.6070644855499268
