arm,run,step,accuracy,first_half,second_half
independent,reset-d3-independent-s2,1500,0.1562,0.0588,0.2513
independent,reset-d3-independent-s2,1750,0.1533,0.0489,0.2552
independent,reset-d3-independent-s2,2000,0.2117,0.1275,0.2938
independent,reset-d3-independent-s2,2250,0.198,0.0613,0.3314
independent,reset-d3-independent-s2,2500,0.2026,0.0539,0.3478
independent,reset-d3-independent-s2,2750,0.2598,0.1869,0.3309
independent,reset-d3-independent-s2,3000,0.2373,0.1424,0.33
independent,reset-d3-independent-s2,3250,0.2412,0.134,0.3459
independent,reset-d3-independent-s2,3500,0.2292,0.1295,0.3266
independent,reset-d3-independent-s2,3750,0.2483,0.1503,0.3439
independent,reset-d3-independent-s2,4000,0.2798,0.1883,0.369
independent,reset-d3-independent-s2,4250,0.2881,0.178,0.3956
independent,reset-d3-independent-s2,4500,0.3042,0.1992,0.4067
independent,reset-d3-independent-s2,4750,0.304,0.2116,0.3941
independent,reset-d3-independent-s2,5000,0.2876,0.1859,0.3869
independent,reset-d3-independent-s2,5250,0.3298,0.2338,0.4235
independent,reset-d3-independent-s2,5500,0.3547,0.2506,0.4563
independent,reset-d3-independent-s2,5750,0.3804,0.2877,0.4708
independent,reset-d3-independent-s2,6000,0.3906,0.2912,0.4877
independent,reset-d3-independent-s2,6250,0.3569,0.2467,0.4645
independent,reset-d3-independent-s2,6500,0.3218,0.1463,0.493
independent,reset-d3-independent-s2,6750,0.2727,0.0687,0.4718
independent,reset-d3-independent-s2,7000,0.3674,0.2338,0.4978
independent,reset-d3-independent-s2,7250,0.3857,0.2684,0.5002
independent,reset-d3-independent-s2,7500,0.3926,0.2758,0.5065
independent,reset-d3-independent-s2,7750,0.3962,0.2857,0.5041
independent,reset-d3-independent-s2,8000,0.376,0.2299,0.5186
independent,reset-d3-independent-s2,8250,0.3755,0.221,0.5263
independent,reset-d3-independent-s2,8500,0.3882,0.2338,0.5388
independent,reset-d3-independent-s2,8750,0.4131,0.2823,0.5408
independent,reset-d3-independent-s2,9000,0.4199,0.2872,0.5494
independent,reset-d3-independent-s2,9250,0.3579,0.1676,0.5437
independent,reset-d3-independent-s2,9500,0.3447,0.1379,0.5466
independent,reset-d3-independent-s2,9750,0.3206,0.089,0.5466
independent,reset-d3-independent-s2,10000,0.3237,0.0905,0.5514
shared,reset-d3-shared-s0,250,0.0593,0.0613,0.0574
shared,reset-d3-shared-s0,500,0.1357,0.0667,0.2031
shared,reset-d3-shared-s0,750,0.1799,0.1537,0.2055
shared,reset-d3-shared-s0,1000,0.2224,0.2363,0.2089
shared,reset-d3-shared-s0,1250,0.1494,0.0573,0.2393
shared,reset-d3-shared-s0,1500,0.1545,0.0722,0.2349
shared,reset-d3-shared-s0,1750,0.1523,0.0593,0.2431
shared,reset-d3-shared-s0,2000,0.1631,0.0652,0.2586
shared,reset-d3-shared-s0,2250,0.1858,0.0638,0.3049
shared,reset-d3-shared-s0,2500,0.2095,0.0623,0.3531
shared,reset-d3-shared-s0,2750,0.2346,0.0628,0.4023
shared,reset-d3-shared-s0,3000,0.2488,0.0662,0.4269
shared,reset-d3-shared-s0,3250,0.2639,0.0623,0.4607
shared,reset-d3-shared-s0,3500,0.2776,0.0608,0.4891
shared,reset-d3-shared-s0,3750,0.2742,0.0648,0.4785
shared,reset-d3-shared-s0,4000,0.2947,0.0608,0.5229
shared,reset-d3-shared-s0,4250,0.3281,0.0628,0.5871
shared,reset-d3-shared-s0,4500,0.2522,0.0662,0.4337
shared,reset-d3-shared-s0,4750,0.3396,0.0618,0.6107
shared,reset-d3-shared-s0,5000,0.3564,0.0652,0.6406
shared,reset-d3-shared-s0,5250,0.3101,0.0628,0.5514
shared,reset-d3-shared-s0,5500,0.3459,0.0598,0.6252
shared,reset-d3-shared-s0,5750,0.3848,0.0672,0.6946
shared,reset-d3-shared-s0,6000,0.3672,0.0608,0.6662
shared,reset-d3-shared-s0,6250,0.3474,0.0544,0.6334
shared,reset-d3-shared-s0,6500,0.3767,0.0623,0.6836
shared,reset-d3-shared-s0,6750,0.3972,0.0682,0.7183
shared,reset-d3-shared-s0,7000,0.4084,0.0648,0.7438
shared,reset-d3-shared-s0,7250,0.4009,0.0682,0.7255
shared,reset-d3-shared-s0,7500,0.4106,0.0682,0.7448
shared,reset-d3-shared-s0,7750,0.4094,0.0657,0.7448
shared,reset-d3-shared-s0,8000,0.417,0.0648,0.7607
shared,reset-d3-shared-s0,8250,0.4026,0.0677,0.7294
shared,reset-d3-shared-s0,8500,0.4194,0.0623,0.768
shared,reset-d3-shared-s0,8750,0.4194,0.0613,0.7689
shared,reset-d3-shared-s0,9000,0.4187,0.0613,0.7675
shared,reset-d3-shared-s0,9250,0.4243,0.0657,0.7742
shared,reset-d3-shared-s0,9500,0.4233,0.0633,0.7747
shared,reset-d3-shared-s0,9750,0.4219,0.0598,0.7752
shared,reset-d3-shared-s0,10000,0.4221,0.0588,0.7767
shared,reset-d3-shared-s1,250,0.0652,0.0667,0.0637
shared,reset-d3-shared-s1,500,0.124,0.0652,0.1814
shared,reset-d3-shared-s1,750,0.1797,0.1196,0.2383
shared,reset-d3-shared-s1,1000,0.2661,0.2803,0.2523
shared,reset-d3-shared-s1,1250,0.2849,0.3149,0.2557
shared,reset-d3-shared-s1,1500,0.2622,0.17,0.3521
shared,reset-d3-shared-s1,1750,0.3191,0.259,0.3777
shared,reset-d3-shared-s1,2000,0.3562,0.2981,0.4129
shared,reset-d3-shared-s1,2250,0.3645,0.2976,0.4298
shared,reset-d3-shared-s1,2500,0.3801,0.3267,0.4322
shared,reset-d3-shared-s1,2750,0.3704,0.3342,0.4057
shared,reset-d3-shared-s1,3000,0.3979,0.344,0.4506
shared,reset-d3-shared-s1,3250,0.4268,0.3668,0.4853
shared,reset-d3-shared-s1,3500,0.4524,0.388,0.5152
shared,reset-d3-shared-s1,3750,0.4688,0.4548,0.4824
shared,reset-d3-shared-s1,4000,0.4998,0.474,0.5248
shared,reset-d3-shared-s1,4250,0.509,0.4617,0.5552
shared,reset-d3-shared-s1,4500,0.5046,0.4765,0.5321
shared,reset-d3-shared-s1,4750,0.5376,0.5344,0.5408
shared,reset-d3-shared-s1,5000,0.5579,0.5502,0.5654
shared,reset-d3-shared-s1,5250,0.5618,0.5457,0.5774
shared,reset-d3-shared-s1,5500,0.5698,0.5492,0.59
shared,reset-d3-shared-s1,5750,0.5784,0.5769,0.5798
shared,reset-d3-shared-s1,6000,0.6094,0.6149,0.604
shared,reset-d3-shared-s1,6250,0.5532,0.5121,0.5933
shared,reset-d3-shared-s1,6500,0.4075,0.2338,0.5769
shared,reset-d3-shared-s1,6750,0.4556,0.3119,0.5958
shared,reset-d3-shared-s1,7000,0.4636,0.2823,0.6406
shared,reset-d3-shared-s1,7250,0.5439,0.4637,0.6223
shared,reset-d3-shared-s1,7500,0.604,0.5294,0.6768
shared,reset-d3-shared-s1,7750,0.6316,0.5522,0.7091
shared,reset-d3-shared-s1,8000,0.6575,0.5887,0.7246
shared,reset-d3-shared-s1,8250,0.5728,0.4251,0.7168
shared,reset-d3-shared-s1,8500,0.6626,0.5868,0.7366
shared,reset-d3-shared-s1,8750,0.5237,0.3282,0.7144
shared,reset-d3-shared-s1,9000,0.5566,0.3678,0.741
shared,reset-d3-shared-s1,9250,0.5144,0.2808,0.7424
shared,reset-d3-shared-s1,9500,0.5732,0.3885,0.7535
shared,reset-d3-shared-s1,9750,0.584,0.4142,0.7496
shared,reset-d3-shared-s1,10000,0.5273,0.2976,0.7516
shared,reset-d3-shared-s2,250,0.0613,0.0593,0.0632
shared,reset-d3-shared-s2,500,0.1262,0.0667,0.1843
shared,reset-d3-shared-s2,750,0.1785,0.0727,0.2817
shared,reset-d3-shared-s2,1000,0.2205,0.1023,0.3357
shared,reset-d3-shared-s2,1250,0.2092,0.0657,0.3493
shared,reset-d3-shared-s2,1500,0.1772,0.0539,0.2976
shared,reset-d3-shared-s2,1750,0.2046,0.0643,0.3415
shared,reset-d3-shared-s2,2000,0.197,0.0707,0.3203
shared,reset-d3-shared-s2,2250,0.2065,0.0608,0.3488
shared,reset-d3-shared-s2,2500,0.2063,0.0618,0.3473
shared,reset-d3-shared-s2,2750,0.2009,0.0722,0.3266
shared,reset-d3-shared-s2,3000,0.1917,0.0583,0.3218
shared,reset-d3-shared-s2,3250,0.1909,0.0712,0.3078
shared,reset-d3-shared-s2,3500,0.2224,0.0766,0.3647
shared,reset-d3-shared-s2,3750,0.2361,0.0816,0.3869
shared,reset-d3-shared-s2,4000,0.2544,0.0816,0.4231
shared,reset-d3-shared-s2,4250,0.2612,0.0816,0.4366
shared,reset-d3-shared-s2,4500,0.2473,0.0791,0.4115
shared,reset-d3-shared-s2,4750,0.2915,0.0924,0.4858
shared,reset-d3-shared-s2,5000,0.2937,0.0914,0.4911
shared,reset-d3-shared-s2,5250,0.2654,0.0989,0.4279
shared,reset-d3-shared-s2,5500,0.2852,0.1033,0.4626
shared,reset-d3-shared-s2,5750,0.2869,0.1068,0.4626
shared,reset-d3-shared-s2,6000,0.3271,0.1102,0.5388
shared,reset-d3-shared-s2,6250,0.3174,0.1092,0.5205
shared,reset-d3-shared-s2,6500,0.3362,0.1087,0.5581
shared,reset-d3-shared-s2,6750,0.3474,0.1241,0.5654
shared,reset-d3-shared-s2,7000,0.3071,0.127,0.4829
shared,reset-d3-shared-s2,7250,0.3413,0.1107,0.5663
shared,reset-d3-shared-s2,7500,0.3579,0.131,0.5794
shared,reset-d3-shared-s2,7750,0.3667,0.13,0.5977
shared,reset-d3-shared-s2,8000,0.3767,0.1493,0.5986
shared,reset-d3-shared-s2,8250,0.3501,0.1226,0.5721
shared,reset-d3-shared-s2,8500,0.3643,0.1434,0.5798
shared,reset-d3-shared-s2,8750,0.364,0.1349,0.5876
shared,reset-d3-shared-s2,9000,0.375,0.1488,0.5958
shared,reset-d3-shared-s2,9250,0.3857,0.1532,0.6126
shared,reset-d3-shared-s2,9500,0.3787,0.133,0.6184
shared,reset-d3-shared-s2,9750,0.3655,0.131,0.5943
shared,reset-d3-shared-s2,10000,0.3911,0.1518,0.6247
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,250,0.0618,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,500,0.0615,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,750,0.0586,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,1000,0.1064,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,1250,0.1077,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,1500,0.1106,,
historical_mamba2,sc4k-nc16-ds16-mamba2-d1,1750,0.1455,,
